130097,1,HCM_Edit_NewAddress_Employee_0098,10/18/2020 12:44:16 PM,0,Failed,10/18/2020 12:42:06 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1356,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.75",,871,Passed,"",basic.step,
"Iteration Total (sec)",,128051,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,97,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,33,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=13389405001333817&_afrWindowMode=0&_afrWindowId=1by504ot66&_adf.ctrl-state=1chttq6bmw_186&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_af...",,44001,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Failed to playback",,82725,Failed,"",ft.action,
"setText",,82185,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,103,Failed,"",basic.finish,
"Failed to playback",,91,Failed,"Failed to playback: No browser launched.",ft.action,
