386695,1,HCM_Edit_Skills_Qualifications_Previous_Employment_0112,11/04/2020 16:59:33 PM,0,Failed,11/04/2020 16:53:06 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,16759,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,15760,Passed,"",basic.step,
"Iteration Total (sec)",,208518,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,370,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,70,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DiwUyTp2HA%2BeTSbO9UoxcmuAoWO%2BwQ2ZlzG%2BdUnC7UCdNNh17a93PL3fVt2iJzgiyH8XPP%2B4AUHJdF8F1U6433OC%2F7OusoeTJ1LKBsi8rTyIFslBOQvVyFUb2%2F9rrf3aQAfUHbR...",,9330,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,298,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,1043,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,105,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,328,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DiwUyTp2HA%2BeTSbO9UoxcmuAoWO%2BwQ2ZlzG%2BdUnC7UCdNNh17a93PL3fVt2iJzgiyH8XPP%2B4AUHJdF8F1U6433OC%2F7OusoeTJ1LKBsi8rTyIFslBOQvVyFUb2%2F9rrf3aQAfUHbR...",,1996,Passed,"",web.pageComplete,
"focus",,2797,Passed,"",ft.action,
"Think: 3.147 (sec).",,3225,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,61,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=60w2cx8pu_5&_afrLoop=14873293465515807&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,2325,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1240,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=14873301299876476&_adf.ctrl-state=60w2cx8pu_81",,3502,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_my_information'"")",,470,Passed,"",ft.action,
"Think: 0.868 (sec).",,924,Passed,"",basic.comment,
"Click link(""@id='showmore_groupNode_my_information'"")",,1229,Passed,"",ft.action,
"Think: 0.785 (sec).",,833,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,241,Passed,"",ft.action,
"Think: 0.576 (sec).",,620,Passed,"",basic.comment,
"Click link(""@text='Skills and Qualifications'"")",,321,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=14873301299876476&_adf.ctrl-state=60w2cx8pu_81",,7646,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@oats_inject_js='1'"")",,318,Passed,"",ft.action,
"Think: 1.594 (sec).",,1664,Passed,"",basic.comment,
"Find Object",,160918,Failed,"Find Object timeout. Detail information:{{obj.HCM_Edit_Skills_Qualifications_Previous_Employment_0112.Edit}} = /web:window[@index='0' or @title='Skills and Qualifications - - Oracle Applications']/web:document[@index='0' or @name='xtvcl8kde']/web:span[@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:SP1Upl:UPsp1:regregion300000003495349Rgn:0:prsPce:pr7Rgn:0:ppePce:ppeLv:0:ppePse:PSEcil6::icon'].",ft.action,
"Finish Total (sec)",,160477,Failed,"",basic.finish,
"WaitForPage",,160011,Failed,"Timeout(160 seconds) occurred waiting for page to load.",ft.action,
