217603,1,HCM_Edit_Visa_WorkPermits_Information_0121,11/16/2020 16:09:31 PM,0,Failed,11/16/2020 16:05:54 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,6787,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,6102,Passed,"",basic.step,
"Iteration Total (sec)",,210327,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,216,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,55,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dtw9YtAAfJBL%2FX6pkdMRGz%2F347i19J0T8OXUf9RmcbEKyTaHZe7G7kbm6u8rz%2Bchis0qXbbtrhoVAMrO4RF5BFd2Y%2FPumvYSsYvagcl4G9WpI28NgLbuj3BAxsn6k5JxnLf9pJDvW%2...",,9134,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,83,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,361,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,86,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,296,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dtw9YtAAfJBL%2FX6pkdMRGz%2F347i19J0T8OXUf9RmcbEKyTaHZe7G7kbm6u8rz%2Bchis0qXbbtrhoVAMrO4RF5BFd2Y%2FPumvYSsYvagcl4G9WpI28NgLbuj3BAxsn6k5JxnLf9pJDvW%2...",,1566,Passed,"",web.pageComplete,
"focus",,2504,Passed,"",ft.action,
"Think: 3.147 (sec).",,3209,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,60,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=194aun9m51_5&_afrLoop=15907248465788317&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,1779,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1189,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=15907254727595942&_adf.ctrl-state=194aun9m51_81",,1541,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_my_information'"")",,257,Passed,"",ft.action,
"Think: 0.868 (sec).",,931,Passed,"",basic.comment,
"Click link(""@text='Identification Info'"")",,227,Passed,"",ft.action,
"Think: 6.785 (sec).",,6803,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,1670,Passed,"",ft.action,
"Think: 2.868 (sec).",,2896,Passed,"",basic.comment,
"Click image(""@alt='Edit'"")",,272,Passed,"",ft.action,
"Think: 2.868 (sec).",,2889,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:docsUpl:UPsp1:vpRnPce:visaRgn:1:visaPce:visasLv:0:visaPse:CnSis:ctrySrh::content'"")",,213,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:docsUpl:UPsp1:vpRnPce:visaRgn:1:visaPce:visasLv:0:visaPse:changDt::content'"") 07-Jan-2019",,81,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:docsUpl:UPsp1:vpRnPce:visaRgn:1:visaPce:visasLv:0:visaPse:changDt::content'"")",,239,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:docsUpl:UPsp1:vpRnPce:visaRgn:1:visaPce:visasLv:0:visaPse:eTypSel::content'"")",,236,Passed,"",ft.action,
"Think: 0.482 (sec).",,518,Passed,"",basic.comment,
"Click element(""@text='Iqama'"")",,206,Passed,"",ft.action,
"Think: 0.803 (sec).",,831,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:docsUpl:UPsp1:vpRnPce:visaRgn:1:visaPce:visasLv:0:visaPse:eCatSel::content'"")",,232,Passed,"",ft.action,
