116302,1,HCM_ManageContactInfo_Add_Address_0074,9/07/2020 17:34:35 PM,0,Passed,9/07/2020 17:32:39 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4229,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.83",,3771,Passed,"",basic.step,
"Iteration Total (sec)",,111651,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,140,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,44,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,4398,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,73,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,289,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,52,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,239,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1486,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2426,Passed,"",basic.comment,
"focus",,194,Passed,"",ft.action,
"Think: 0.147 (sec).",,176,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,271,Passed,"",ft.action,
"Think: 3.147 (sec).",,3165,Passed,"",basic.comment,
"Click link(""@text='Family and Emergency Contacts'"")",,193,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=322630789500392&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=d8ul18hqx_1&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrMFDW=1536&_afrMFDH=864&_afrMFC=8...",360,7448,Passed,"",web.pageComplete,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:fnecUpl:UPsp1:mConPce:myConLv:0:tryPse:dNmeLnk'"")",,3234,Passed,"",ft.action,
"Think: 10 (sec).",,10023,Passed,"",basic.comment,
"DoubleClick element(""@text='Address'"")",,10783,Passed,"",ft.action,
"Think: 0.454 (sec).",,493,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",334,181,Passed,"",ft.action,
"Think: 10 (sec).",,10026,Passed,"",basic.comment,
"Click element(""@text='Add'"")",336,178,Passed,"",ft.action,
"Think: 10 (sec).",,10024,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:CnSis:ctrySrh::content'"")",337,196,Passed,"",ft.action,
"Think: 2.235 (sec).",,2253,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:CnSis:ctrySrh::content'"") Saudi Arabia",338,68,Passed,"",ft.action,
"Think: 1.615 (sec).",,1635,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:CnSis:ctrySrh::content'"")",339,187,Passed,"",ft.action,
"Think: 1.585 (sec).",,1603,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:aTypSel::drop'"")",340,237,Passed,"",ft.action,
"Think: 1.65 (sec).",,1673,Passed,"",basic.comment,
"Click element(""@text='Home Address'"")",341,184,Passed,"",ft.action,
"Think: 1.507 (sec).",,1525,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:aTypSel::content'"")",342,186,Passed,"",ft.action,
"Think: 0.049 (sec).",,66,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:changDt::content'"") 9/7/20",343,58,Passed,"",ft.action,
"Think: 0.039 (sec).",,60,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:changDt::content'"")",344,215,Passed,"",ft.action,
"Think: 1.256 (sec).",,1276,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:a1:AddStIt:0:adL1Inp::content'"") 111111",345,52,Passed,"",ft.action,
"Think: 0.828 (sec).",,846,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:a1:AddStIt:0:adL1Inp::content'"")",346,198,Passed,"",ft.action,
"Think: 0.078 (sec).",,99,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:a1:AddStIt:1:adL2Inp::content'"") 111111",347,69,Passed,"",ft.action,
"Think: 0.051 (sec).",,67,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:a1:AddStIt:1:adL2Inp::content'"")",348,207,Passed,"",ft.action,
"Think: 0.036 (sec).",,51,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:a1:AddStIt:2:adL3Inp::content'"") 123456",349,73,Passed,"",ft.action,
"Think: 0.027 (sec).",,43,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:a1:AddStIt:2:adL3Inp::content'"")",350,214,Passed,"",ft.action,
"Think: 0.036 (sec).",,65,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:a1:AddStIt:3:adA1Inp::content'"") Kol",351,82,Passed,"",ft.action,
"Think: 4.545 (sec).",,4580,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:a1:AddStIt:3:adA1Inp::content'"")",352,173,Passed,"",ft.action,
"Think: 0.162 (sec).",,183,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:addrRgn:0:addrPce:addrsLv:5:addrPse:a1:AddStIt:4:tOrCInp::content'"") WB",353,52,Passed,"",ft.action,
"Think: 1.347 (sec).",,1368,Passed,"",basic.comment,
