78018,1,HCM_ManageContactInfo_Add_Email_0071,9/04/2020 13:20:37 PM,0,Passed,9/04/2020 13:19:18 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5579,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.83",,5094,Passed,"",basic.step,
"Iteration Total (sec)",,71944,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,69,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,40,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,4551,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,80,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,265,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,73,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,237,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1603,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2439,Passed,"",basic.comment,
"focus",,211,Passed,"",ft.action,
"Think: 0.147 (sec).",,197,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,228,Passed,"",ft.action,
"Think: 3.147 (sec).",,3182,Passed,"",basic.comment,
"focus",,178,Passed,"",ft.action,
"Think: 0.3 (sec).",,326,Passed,"",basic.comment,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_PER_INFO_4'"")",,194,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_PER_INFO",,6995,Passed,"",web.pageComplete,
"focus",,215,Passed,"",ft.action,
"Think: 4.147 (sec).",,4188,Passed,"",basic.comment,
"Click element(""@text='Family and Emergency Contacts'"")",,180,Passed,"",ft.action,
"DoubleClick element(""@text='Family and Emergency Contacts'"")",,52,Passed,"",ft.action,
"Think: 8.147 (sec).",,8170,Passed,"",basic.comment,
"focus",,240,Passed,"",ft.action,
"Think: 1.946 (sec).",,1970,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:1:fnecUpl:UPsp1:mConPce:myConLv:0:dNmeLnk'"")",,231,Passed,"",ft.action,
"Think: 1.946 (sec).",,1973,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,174,Passed,"",ft.action,
"Think: 2.446 (sec).",,2474,Passed,"",basic.comment,
"focus",,193,Passed,"",ft.action,
"Think: 0.175 (sec).",,234,Passed,"",basic.comment,
"Click image(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:PCEcil2::icon'"")",,229,Passed,"",ft.action,
"Think: 0.411 (sec).",,474,Passed,"",basic.comment,
"Click element(""@text='Add'"")",295,1326,Passed,"",ft.action,
"Think: 0.397 (sec).",,442,Passed,"",basic.comment,
"Click element(""@text='Email Details'"")",,255,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_PER_INFO&_afrLoop=48242882466195&_afrWindowMode=0&_afrWindowId=xha4255he&_adf.ctrl-state=ku8x1m...",,1328,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:emalPce:emailLv:2:emalPse:eTypSel::content'"")",,1847,Passed,"",ft.action,
"Think: 1.113 (sec).",,1169,Passed,"",basic.comment,
"Click element(""@text='Work Email'"")",,211,Passed,"",ft.action,
"Think: 1.77 (sec).",,1805,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:emalPce:emailLv:2:emalPse:eAddInp::content'"")",,238,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:emalPce:emailLv:2:emalPse:eAddInp::content'"") s1@gmail.com",,54,Passed,"",ft.action,
"Think: 0.79 (sec).",,816,Passed,"",basic.comment,
"SetText textArea(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:emalPce:emailLv:2:emalPse:eACmRgn:1:comInp::content'"") Eamil Addded",,53,Passed,"",ft.action,
"Think: 1.717 (sec).",,1740,Passed,"",basic.comment,
"Click element(""@text='Submit'"")",,189,Passed,"",ft.action,
"Think: 8.633 (sec).",,8656,Passed,"",basic.comment,
"focus",,178,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_PER_INFO&_afrLoop=48242882466195&_afrWindowMode=0&_afrWindowId=xha4255he&_adf.ctrl-state=ku8x1m...",,1335,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,56,Passed,"",basic.finish,
