103368,1,HCM_ManageContactInfo_Add_Phone_Number_0068,9/01/2020 18:56:40 PM,0,Failed,9/01/2020 18:54:57 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4425,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.83",,3916,Passed,"",basic.step,
"Iteration Total (sec)",,98336,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,78,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,46,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,4460,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,67,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,272,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,70,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,192,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1496,Passed,"",web.pageComplete,
"Think: 5.387 (sec).",,5440,Passed,"",basic.comment,
"focus",,202,Passed,"",ft.action,
"Think: 0.147 (sec).",,194,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,223,Passed,"",ft.action,
"Think: 6.147 (sec).",,6169,Passed,"",basic.comment,
"focus",,184,Passed,"",ft.action,
"Think: 0.3 (sec).",,326,Passed,"",basic.comment,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_PER_INFO_4'"")",,191,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7673009139799785&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=t0uvzbk9y_1&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrMFDW=1536&_afrMFDH=864&_afrMFC=...",,9593,Passed,"",web.pageComplete,
"focus",,220,Passed,"",ft.action,
"Think: 0.147 (sec).",,178,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:_FOTsr1:0:lp1Upl:UPsp1:i2:4:tb1:TBpgl6'"")",,198,Passed,"",ft.action,
"Think: 10 (sec).",,10033,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:1:fnecUpl:UPsp1:mConPce:myConLv:0:dNmeLnk'"")",,215,Passed,"",ft.action,
"Think: 1.946 (sec).",,1966,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,178,Passed,"",ft.action,
"Think: 2.446 (sec).",,2465,Passed,"",basic.comment,
"focus",,1676,Passed,"",ft.action,
"Think: 0.175 (sec).",,201,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,216,Passed,"",ft.action,
"Think: 0.411 (sec).",,429,Passed,"",basic.comment,
"Failed to playback",,37569,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,83,Failed,"",basic.finish,
"Failed to playback",,93,Failed,"Failed to playback: No browser launched.",ft.action,
