221524,1,HCM_ManageContactInfo_Edit_Email_0072,9/06/2020 16:09:00 PM,0,Failed,9/06/2020 16:05:18 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4159,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.83",,3701,Passed,"",basic.step,
"Iteration Total (sec)",,165751,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,114,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,44,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,6312,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,60,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,274,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,64,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,227,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1471,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2452,Passed,"",basic.comment,
"focus",,225,Passed,"",ft.action,
"Think: 0.3 (sec).",,323,Passed,"",basic.comment,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_PER_INFO_4'"")",,187,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=231011083499678&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=4x2lnhzvh_1&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrMFDW=1536&_afrMFDH=864&_afrMFC=8...",,2183,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10025,Passed,"",basic.comment,
"Find Object",,60348,Failed,"Find Object timeout. Detail information:{{obj.HCM_ManageContactInfo_Edit_Email_0072.web_span_Family_and_Emergency_Cont}} = /web:window[@index='0' or @title='Personal Info - Personal Information - Oracle Applications']/web:document[@index='0' or @name='igasgw6ol']/web:span[@text='Family and Emergency Contacts' or @index='17'].",ft.action,
"Finish Total (sec)",,51241,Passed,"",basic.finish,
"Click element(""@id='_FOpt1:_UIScmil1u::icon'"")",,36507,Passed,"",ft.action,
"Think: 3.667 (sec).",,3684,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_UISlg1'"")",,193,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_PER_INFO&_afrLoop=231058300286108&_afrWindowMode=0&_afrWindowId=ipqenouau&_adf.ctrl-state=p66hg...",,1943,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 5.679 (sec).",,5712,Passed,"",basic.comment,
"Click button(""@id='Confirm'"")",,189,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?_adf.ctrl-state=p66hgzgf_5&fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_PER_INFO",,2003,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 0.247 (sec).",,275,Passed,"",basic.comment,
"closeBrowser",,36,Passed,"",ft.action,
