69632,1,HCM_ManageContactInfo_Edit_Phone_Number_0069,9/02/2020 10:33:15 AM,0,Failed,9/02/2020 10:32:05 AM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5178,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.83",,4515,Passed,"",basic.step,
"Iteration Total (sec)",,63699,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,119,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,74,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,5584,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,87,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,334,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,108,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,215,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1550,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2432,Passed,"",basic.comment,
"focus",,255,Passed,"",ft.action,
"Think: 1.147 (sec).",,1196,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,1304,Passed,"",ft.action,
"Think: 3.147 (sec).",,3187,Passed,"",basic.comment,
"focus",,223,Passed,"",ft.action,
"Think: 0.3 (sec).",,325,Passed,"",basic.comment,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_PER_INFO_4'"")",,217,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7729240719685273&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=10ddhdfxat_1&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrMFDW=1536&_afrMFDH=864&_afrMFC...",,9851,Passed,"",web.pageComplete,
"focus",,383,Passed,"",ft.action,
"Think: 0.147 (sec).",,193,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:_FOTsr1:0:lp1Upl:UPsp1:i2:4:tb1:TBpgl6'"")",,215,Passed,"",ft.action,
"Think: 8.147 (sec).",,8188,Passed,"",basic.comment,
"Failed to playback",,18,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,63,Failed,"",basic.finish,
"Failed to playback",,105,Failed,"Failed to playback: No browser launched.",ft.action,
