103837,1,HCM_ManageContactInfo_Edit_Phone_Number_0069,9/02/2020 10:35:45 AM,0,Passed,9/02/2020 10:34:01 AM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5082,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.83",,4610,Passed,"",basic.step,
"Iteration Total (sec)",,77342,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,72,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,47,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,4536,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,105,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,258,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,65,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,223,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1464,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2441,Passed,"",basic.comment,
"focus",,217,Passed,"",ft.action,
"Think: 1.147 (sec).",,1193,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,251,Passed,"",ft.action,
"Think: 3.147 (sec).",,3182,Passed,"",basic.comment,
"focus",,211,Passed,"",ft.action,
"Think: 0.3 (sec).",,319,Passed,"",basic.comment,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_PER_INFO_4'"")",,215,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_PER_INFO",,6270,Passed,"",web.pageComplete,
"focus",,189,Passed,"",ft.action,
"Think: 3.147 (sec).",,3182,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:_FOTsr1:0:lp1Upl:UPsp1:i2:4:tb1:TBpgl6'"")",,197,Passed,"",ft.action,
"focus",,198,Passed,"",ft.action,
"Think: 1.946 (sec).",,1975,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:1:fnecUpl:UPsp1:mConPce:myConLv:0:dNmeLnk'"")",,1872,Passed,"",ft.action,
"Think: 1.946 (sec).",,1971,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,178,Passed,"",ft.action,
"Think: 2.446 (sec).",,2479,Passed,"",basic.comment,
"focus",,415,Passed,"",ft.action,
"Think: 0.175 (sec).",,203,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,200,Passed,"",ft.action,
"Think: 0.411 (sec).",,443,Passed,"",basic.comment,
"Click image(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:PSEcil6::icon'"")",,1284,Passed,"",ft.action,
"Think: 1.397 (sec).",,1423,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:pTypSel::content'"")",,7325,Passed,"",ft.action,
"Think: 0.61 (sec).",,658,Passed,"",basic.comment,
"Click element(""@text='Work Phone'"")",,188,Passed,"",ft.action,
"Think: 0.194 (sec).",,219,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:pTypSel::content'"")",,238,Passed,"",ft.action,
"Think: 0.61 (sec).",,629,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:CnSis:ctrySrh::content'"") Saudi Arabia 966",,59,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:CnSis:ctrySrh::content'"")",,185,Passed,"",ft.action,
"Think: 0.61 (sec).",,633,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:pAcdInp::content'"") 1234",,53,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:pAcdInp::content'"")",,247,Passed,"",ft.action,
"Think: 0.61 (sec).",,631,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:pNumInp::content'"") 4444444441",,66,Passed,"",ft.action,
"Think: 1.819 (sec).",,1850,Passed,"",basic.comment,
"Click element(""@text='Submit'"")",,193,Passed,"",ft.action,
"Think: 4.188 (sec).",,4215,Passed,"",basic.comment,
"DoubleClick element(""@text='We are submitting your changes for approval. '"")",,60,Passed,"",ft.action,
"Think: 1.714 (sec).",,1742,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,189,Passed,"",ft.action,
"Think: 1.03 (sec).",,1074,Passed,"",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_PER_INFO&_afrLoop=7729369730178497&_afrWindowMode=0&_afrWindowId=18b1f514n5&_adf.ctrl-state=am5...",,1374,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,20935,Passed,"",basic.finish,
"Click element(""@id='_FOpt1:_UIScmil1u::icon'"")",,246,Passed,"",ft.action,
"Think: 3.667 (sec).",,3691,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_UISlg1'"")",,240,Passed,"",ft.action,
"Think: 5.679 (sec).",,5711,Passed,"",basic.comment,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?_adf.ctrl-state=am5v3v73w_5&fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_PER_INFO",,2240,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 5.679 (sec).",,5719,Passed,"",basic.comment,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?_adf.ctrl-state=am5v3v73w_5&fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_PER_INFO",,1926,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 0.247 (sec).",,283,Passed,"",basic.comment,
"closeBrowser",,63,Passed,"",ft.action,
