96519,1,HCM_ManageContactInfo_Edit_Phone_Number_0069,9/02/2020 13:39:48 PM,0,Passed,9/02/2020 13:38:11 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8199,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.83",,7683,Passed,"",basic.step,
"Iteration Total (sec)",,66940,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,85,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,50,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,4001,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,98,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,377,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,58,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,198,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1509,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2431,Passed,"",basic.comment,
"focus",,1072,Passed,"",ft.action,
"Think: 1.147 (sec).",,1172,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,207,Passed,"",ft.action,
"Think: 3.147 (sec).",,3210,Passed,"",basic.comment,
"focus",,205,Passed,"",ft.action,
