86543,1,HCM_ManageContactInfo_Add_Phone_Number_0068,9/01/2020 19:18:28 PM,0,Passed,9/01/2020 19:17:02 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4550,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.83",,4031,Passed,"",basic.step,
"Iteration Total (sec)",,71319,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,67,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,57,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,4469,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,65,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,257,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,61,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,190,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1483,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2426,Passed,"",basic.comment,
"focus",,247,Passed,"",ft.action,
"Think: 0.147 (sec).",,198,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,196,Passed,"",ft.action,
"Think: 3.147 (sec).",,3169,Passed,"",basic.comment,
"focus",,176,Passed,"",ft.action,
"Think: 0.3 (sec).",,321,Passed,"",basic.comment,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_PER_INFO_4'"")",,201,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7674348576336470&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=vrrs1g122_1&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrMFDW=1536&_afrMFDH=864&_afrMFC=...",,4477,Passed,"",web.pageComplete,
"focus",,211,Passed,"",ft.action,
"Think: 0.147 (sec).",,176,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:_FOTsr1:0:lp1Upl:UPsp1:i2:4:tb1:TBpgl6'"")",,182,Passed,"",ft.action,
"Think: 8.147 (sec).",,8172,Passed,"",basic.comment,
"focus",,221,Passed,"",ft.action,
"Think: 1.946 (sec).",,1973,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:1:fnecUpl:UPsp1:mConPce:myConLv:0:dNmeLnk'"")",,195,Passed,"",ft.action,
"Think: 1.946 (sec).",,1974,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,1054,Passed,"",ft.action,
"Think: 2.446 (sec).",,2465,Passed,"",basic.comment,
"focus",,163,Passed,"",ft.action,
"Think: 0.175 (sec).",,195,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,200,Passed,"",ft.action,
"Think: 0.411 (sec).",,433,Passed,"",basic.comment,
"Click element(""@text='Add'"")",295,2268,Passed,"",ft.action,
"Think: 0.397 (sec).",,416,Passed,"",basic.comment,
"Click element(""@text='Phone Details'"")",,216,Passed,"",ft.action,
"Think: 0.759 (sec).",,779,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:2:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:pTypSel::content'"")",,3033,Passed,"",ft.action,
"Think: 0.61 (sec).",,626,Passed,"",basic.comment,
"Click element(""@text='Work Phone'"")",,182,Passed,"",ft.action,
"Think: 0.194 (sec).",,217,Passed,"",basic.comment,
