403616,1,HCM_ManageDocumentRecords_Add_Record_0077,9/29/2020 23:06:08 PM,0,Failed,9/29/2020 22:59:24 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4318,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.121",,3797,Passed,"",basic.step,
"Iteration Total (sec)",,237985,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,161,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,44,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,20307,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,81,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,234,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,55,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,185,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1502,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2431,Passed,"",basic.comment,
"Find Object",,160490,Failed,"Find Object timeout. Detail information:{{obj.HCM_ManageDocumentRecords_Add_Record_0077.web_a_Document_Records}} = /web:window[@index='0' or @title='Document Records - - Oracle Applications']/web:document[@index='0' or @name='150nc667ek']/web:a[@text='Document Records' or @href='https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2231787944051955&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=j5bynngs7_1&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrMFDW=1536&_afrMFDH=864&_afrMFC=8&_afrMFCI=0&_afrMFM=0&_afrMFR=120&_afrMFG=0&_afrMFS=0&_afrMFO=0#' or @index='24'].",ft.action,
"Finish Total (sec)",,160853,Failed,"",basic.finish,
"Find Object",,160515,Failed,"Find Object timeout. Detail information:{{obj.HCM_ManageDocumentRecords_Add_Record_0077.web_svg_true_3}} = /web:window[@index='0' or @title='Document Records - - Oracle Applications']/web:document[@index='0' or @name='xsjy93tq0']/web:svg[@_afrsvg='true' and @aria-label='Sujit . Swain' and @role='img' and @id='_FOpt1:_UIScmil1u::icon' and @viewBox='0 0 48 48' and @height='32' and @width='32' and @xmlns='http://www.w3.org/2000/svg' and @tabIndex='-1' and @currentScale='1' and @zoomAndPan='2' and @index='4'].",ft.action,
