81683,1,HCM_ManageFamily_OR_EmergencyContacts_0124,11/23/2020 14:39:43 PM,0,Passed,11/23/2020 14:38:22 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,9030,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,8233,Passed,"",basic.step,
"Iteration Total (sec)",,71938,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,106,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,46,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DFshD5YOcWBqnZGk%2B%2FaHz8ZrlNpvXB1%2BNPZRPU3emA7xYlkapk3PAQipvoNPO8IP%2BwdRxAfuR8%2FNx9e5dco3EB2MRPcYgnwGd5C0%2F1hECS6s0xDXv1LAOChAzbSNwjNXKVnhGgx...",,7522,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,84,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,395,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,79,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,228,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DFshD5YOcWBqnZGk%2B%2FaHz8ZrlNpvXB1%2BNPZRPU3emA7xYlkapk3PAQipvoNPO8IP%2BwdRxAfuR8%2FNx9e5dco3EB2MRPcYgnwGd5C0%2F1hECS6s0xDXv1LAOChAzbSNwjNXKVnhGgx...",,1513,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2446,Passed,"",basic.comment,
"Click link(""@id='pt1:commandLink1'"")",,405,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=8vtelwmj1_5&_afrLoop=16506796105641436&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1734,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,198,Passed,"",ft.action,
"Think: 0.147 (sec).",,178,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,209,Passed,"",ft.action,
"Think: 3.147 (sec).",,3176,Passed,"",basic.comment,
"Click link(""@text='Family and Emergency Dependents'"")",,228,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=16506798959919216&_adf.ctrl-state=8vtelwmj1_81",,3467,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.703 (sec).",,3738,Passed,"",basic.comment,
"Click element(""@text='Add'"")",,220,Passed,"",ft.action,
"Think: 4.014 (sec).",,4031,Passed,"",basic.comment,
"Click element(""@text='Create a New Contact'"")",,218,Passed,"",ft.action,
"Think: 0.184 (sec).",,214,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:qrlsUpl:UPsp1:bInfRgn:0:conBShd:bInfoLv:0:BInf1It:0:BITlSel::content'"")",,2128,Passed,"",ft.action,
"Think: 1.201 (sec).",,1229,Passed,"",basic.comment,
"Click element(""@text='Mr.'"")",,211,Passed,"",ft.action,
"Think: 1.366 (sec).",,1394,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:qrlsUpl:UPsp1:bInfRgn:0:conBShd:bInfoLv:0:BInf1It:1:BIFNInp::content'"")",,216,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:qrlsUpl:UPsp1:bInfRgn:0:conBShd:bInfoLv:0:BInf1It:1:BIFNInp::content'"") Sujit Kumar",,74,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:qrlsUpl:UPsp1:bInfRgn:0:conBShd:bInfoLv:0:BInf1It:4:BILNInp::content'"")",,231,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:qrlsUpl:UPsp1:bInfRgn:0:conBShd:bInfoLv:0:BInf1It:4:BILNInp::content'"") Swain",,112,Passed,"",ft.action,
"Think: 0.161 (sec).",,176,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:qrlsUpl:UPsp1:bInfRgn:0:conBShd:bInfoLv:0:CBI2Sel::content'"")",,226,Passed,"",ft.action,
"Think: 0.389 (sec).",,417,Passed,"",basic.comment,
"Click element(""@text='Brother'"")",,210,Passed,"",ft.action,
"Think: 1.735 (sec).",,1755,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:qrlsUpl:UPsp1:bInfRgn:0:conBShd:bInfoLv:0:BIChDDt::content'"") 10-Aug-2019",,75,Passed,"",ft.action,
"Think: 1.926 (sec).",,1948,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,197,Passed,"",ft.action,
"Think: 0.568 (sec).",,592,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:qrlsUpl:UPsp1:bInfRgn:0:conBShd:bInfoLv:0:BISxSel::content'"")",,222,Passed,"",ft.action,
"Think: 0.096 (sec).",,131,Passed,"",basic.comment,
"Click element(""@text='Male'"")",,275,Passed,"",ft.action,
