122944,1,HCM_ManageFamily_OR_EmergencyContacts_Delete_PhoneNumber_0126,11/25/2020 14:20:52 PM,0,Passed,11/25/2020 14:18:48 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,7487,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,6886,Passed,"",basic.step,
"Iteration Total (sec)",,103073,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,161,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,70,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dm%2BpGyXiSYl8JoMXRW0yqMHomurKrZjQSr64qfgE6Ue9ZxvcIBflOV9ohTkRQexZWM6eiUR%2F1JWn8EmaJfTvsaQAdXjI5KQiqCtz46Z%2BPgjDvWj1oOZ33dEfLFyS%2BgIER8T5c5ZmhFV...",,7255,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,88,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,462,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,107,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,256,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dm%2BpGyXiSYl8JoMXRW0yqMHomurKrZjQSr64qfgE6Ue9ZxvcIBflOV9ohTkRQexZWM6eiUR%2F1JWn8EmaJfTvsaQAdXjI5KQiqCtz46Z%2BPgjDvWj1oOZ33dEfLFyS%2BgIER8T5c5ZmhFV...",,1524,Passed,"",web.pageComplete,
"Think: 3.387 (sec).",,3469,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,69,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=boh9em7rg_5&_afrLoop=16678420485995999&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1676,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,488,Passed,"",ft.action,
"Think: 0.147 (sec).",,189,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,232,Passed,"",ft.action,
"Think: 3.147 (sec).",,3180,Passed,"",basic.comment,
"Click link(""@text='Family and Emergency Dependents'"")",,236,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=16678424859891211&_adf.ctrl-state=boh9em7rg_81",,3048,Passed,"",web.pageComplete,
"Think: 3.703 (sec).",,3752,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:fnecUpl:UPsp1:mConPce:myConLv:0:tryPse:dNmeLnk'"")",,256,Passed,"",ft.action,
"Think: 5.864 (sec).",,5885,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,231,Passed,"",ft.action,
"Think: 1.838 (sec).",,1856,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,237,Passed,"",ft.action,
"Think: 1.843 (sec).",,1876,Passed,"",basic.comment,
"Click image(""@alt='Edit'"")",,247,Passed,"",ft.action,
"Think: 1.836 (sec).",,1856,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:PSEctb1'"")",,575,Passed,"",ft.action,
"Think: 5.807 (sec).",,5823,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FHcmDataSecurityCheckFlow.xml%2523HcmDataSecurityCheckFlow%...",,1150,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:rlspUpl:UPsp1:SPdonei::icon'"")",,225,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FHcmDataSecurityCheckFlow.xml%2523HcmDataSecurityCheckFlow%...",,1662,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 5.807 (sec).",,5825,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:fnecUpl:UPsp1:mConPce:myConLv:0:tryPse:dNmeLnk'"")",,231,Passed,"",ft.action,
"Think: 5.864 (sec).",,5899,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,249,Passed,"",ft.action,
"Think: 3.843 (sec).",,3859,Passed,"",basic.comment,
"focus",,208,Passed,"",ft.action,
"Think: 0.035 (sec).",,56,Passed,"",basic.comment,
