220643,1,HCM_ManageFamily_OR_EmergencyContacts_Edit_PhoneNumber_0125,11/24/2020 14:02:43 PM,0,Failed,11/24/2020 13:59:03 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,7662,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,7018,Passed,"",basic.step,
"Iteration Total (sec)",,212481,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,166,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,51,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D9kce33So0HZ1IJ%2BCOr58W9Dp7B6cRF4vHYHgRa99a7cUgkWSTSQ2vbzPToL8tOORbsR85vHC3f1o%2B37u09TyvkjKbQ7f0pAp2EyQMWTZ8ObL9QhAxJdv6P7vIeq6jaSqTtQkHAaWz%2B2s...",,7364,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,90,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,454,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,108,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,278,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D9kce33So0HZ1IJ%2BCOr58W9Dp7B6cRF4vHYHgRa99a7cUgkWSTSQ2vbzPToL8tOORbsR85vHC3f1o%2B37u09TyvkjKbQ7f0pAp2EyQMWTZ8ObL9QhAxJdv6P7vIeq6jaSqTtQkHAaWz%2B2s...",,1577,Passed,"",web.pageComplete,
"Think: 3.387 (sec).",,3454,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,65,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=en4gp9jn6_5&_afrLoop=16590834463475064&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1736,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,311,Passed,"",ft.action,
"Think: 0.147 (sec).",,195,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,269,Passed,"",ft.action,
"Think: 3.147 (sec).",,3186,Passed,"",basic.comment,
"Click link(""@text='Family and Emergency Dependents'"")",,315,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=16590838441983783&_adf.ctrl-state=en4gp9jn6_81",,4031,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.703 (sec).",,3728,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:fnecUpl:UPsp1:mConPce:myConLv:0:tryPse:dNmeLnk'"")",,268,Passed,"",ft.action,
"Think: 5.864 (sec).",,5887,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,256,Passed,"",ft.action,
"Think: 3.838 (sec).",,3859,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,250,Passed,"",ft.action,
"Think: 6.843 (sec).",,6860,Passed,"",basic.comment,
"Click image(""@alt='Edit'"")",,256,Passed,"",ft.action,
"Think: 1.836 (sec).",,1857,Passed,"",basic.comment,
"Find Object",,160640,Failed,"Find Object timeout. Detail information:{{obj.HCM_ManageFamily_OR_EmergencyContacts_Edit_PhoneNumber_0125.Communication_PhoneType}} = /web:window[@index='0' or @title='Sign In']/web:document[@index='0' or @name='e6tiraz1r']/web:form[@id='_FOf1' or @name='_FOf1' or @index='0']/web:input_text[@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:qrlsUpl:UPsp1:comnRgn:0:qComShd:pTypSel::content' or @index='9'].",ft.action,
"Finish Total (sec)",,41,Passed,"",basic.finish,
