62806,1,HCM_ManageFamily_OR_EmergencyContacts_Edit_PhoneNumber_0125,11/24/2020 14:11:51 PM,0,Passed,11/24/2020 14:10:48 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4534,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,4126,Passed,"",basic.step,
"Iteration Total (sec)",,57645,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,104,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,67,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D0EZLSSzVhvnTSgt2icX7WyS2DHPZ2nGbpshDQYGaVrRRyDIU0pDFoe8ONVYni05EgecLQ9mvhsx5pAXs9HWFwJr0mjeQKiFpq6BEp%2FqdFetCmEWU8fM5xLefOIMUpMzyHFuIht8Rf8Wl0cko...",,7103,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,101,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,346,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,116,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,310,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D0EZLSSzVhvnTSgt2icX7WyS2DHPZ2nGbpshDQYGaVrRRyDIU0pDFoe8ONVYni05EgecLQ9mvhsx5pAXs9HWFwJr0mjeQKiFpq6BEp%2FqdFetCmEWU8fM5xLefOIMUpMzyHFuIht8Rf8Wl0cko...",,1578,Passed,"",web.pageComplete,
"Think: 3.387 (sec).",,3443,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,65,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=omid6q0w8_5&_afrLoop=16591535491044819&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1822,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,320,Passed,"",ft.action,
"Think: 0.147 (sec).",,168,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,231,Passed,"",ft.action,
"Think: 3.147 (sec).",,3209,Passed,"",basic.comment,
"Click link(""@text='Family and Emergency Dependents'"")",,287,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=16591540046810778&_adf.ctrl-state=omid6q0w8_81",,4326,Passed,"",web.pageComplete,
"Think: 3.703 (sec).",,3731,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:fnecUpl:UPsp1:mConPce:myConLv:0:tryPse:dNmeLnk'"")",,269,Passed,"",ft.action,
"Think: 5.864 (sec).",,5887,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,216,Passed,"",ft.action,
"Think: 3.838 (sec).",,3855,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,271,Passed,"",ft.action,
"Think: 6.843 (sec).",,6860,Passed,"",basic.comment,
"Click image(""@alt='Edit'"")",,207,Passed,"",ft.action,
"Think: 1.836 (sec).",,1859,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:pTypSel::content'"")",,279,Passed,"",ft.action,
"Think: 1.836 (sec).",,1850,Passed,"",basic.comment,
"Click element(""@text='Emergency'"")",,248,Passed,"",ft.action,
"Think: 0.862 (sec).",,883,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:CnSis:ctrySrh::content'"") Saudi Arabia 966",,69,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:CnSis:ctrySrh::content'"")",,338,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:pAcdInp::content'"") 011",,95,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:pNumInp::content'"") 1234567890",,98,Passed,"",ft.action,
"Think: 2.807 (sec).",,2825,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:rlspUpl:UPsp1:comnRgn:0:commPce:phonPce:phoneLv:0:phnePse:PSEcb2'"")",,491,Passed,"",ft.action,
"Finish Total (sec)",,36,Passed,"",basic.finish,
