86293,1,HCM_Reports_Analytics_Certificate_Generation_0107,11/01/2020 18:58:41 PM,0,Passed,11/01/2020 18:57:14 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,6478,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,5649,Passed,"",basic.step,
"Iteration Total (sec)",,78966,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,272,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,55,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DlLYaZ1pSi9ezRx8MwjV7ainEgGgiyiauLDJSDmkDCVAYvqf%2Bo2gUa4%2Bw5jdABbYzb4IVaZlnRbNuCTmjPRc%2FOrDZCOH1zlRhUpYOPvSXxLbNWC5cTyCuu%2Bp3khsPU4CV9gdbOlWIyR...",,9564,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,125,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,412,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,84,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,263,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DlLYaZ1pSi9ezRx8MwjV7ainEgGgiyiauLDJSDmkDCVAYvqf%2Bo2gUa4%2Bw5jdABbYzb4IVaZlnRbNuCTmjPRc%2FOrDZCOH1zlRhUpYOPvSXxLbNWC5cTyCuu%2Bp3khsPU4CV9gdbOlWIyR...",,1675,Passed,"",web.pageComplete,
"focus",,3470,Passed,"",ft.action,
"Think: 1.147 (sec).",,1199,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,63,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=hyie2l3jw_5&_afrLoop=14621531241944722&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1857,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3185,Passed,"",basic.comment,
"focus",,195,Passed,"",ft.action,
"Think: 0.147 (sec).",,188,Passed,"",basic.comment,
"Click link(""@id='c_a2ef4594a20a4dfc84df22a39504bd54'"")",,208,Passed,"",ft.action,
"Think: 0.147 (sec).",,175,Passed,"",basic.comment,
"Click link(""@id='c_df012d6163e8422ab1ef1ad0f591f9f0_0'"")",,257,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FEmbassy%20Certificate%2FReport%2FEmbassy%...",,5602,Passed,"",web.pageComplete,
"Click element(""@id='xdo:xdo:_paramsperson_number_div_input'"")",,226,Passed,"",ft.action,
"Think: 0.136 (sec).",,175,Passed,"",basic.comment,
"Click element(""@text='Search ...'"")",,198,Passed,"",ft.action,
"Think: 2.843 (sec).",,2884,Passed,"",basic.comment,
"SetText textBox(""@id='xdo:xdo:_paramsperson_number_div_input_searchDialog_input'"") 5019020",,82,Passed,"",ft.action,
"Click button(""@id='xdo:xdo:_paramsperson_number_div_input_searchDialog_button'"")",,197,Passed,"",ft.action,
"Think: 2.376 (sec).",,2408,Passed,"",basic.comment,
"Click element(""@id='xdo:xdo:_paramsperson_number_div_input_searchDialog_searchResults'"")",,330,Passed,"",ft.action,
"Think: 0.204 (sec).",,245,Passed,"",basic.comment,
"Click button(""@index='2'"")",,196,Passed,"",ft.action,
"Think: 5.753 (sec).",,5802,Passed,"",basic.comment,
"Click element(""@text=' '"")",,196,Passed,"",ft.action,
"Think: 2.078 (sec).",,2111,Passed,"",basic.comment,
"Click element(""@text='Search ...'"")",,199,Passed,"",ft.action,
"Think: 2.383 (sec).",,2417,Passed,"",basic.comment,
"SetText textBox(""@id='xdo:xdo:_paramsp_country_div_input_searchDialog_input'"") Afghanistan",,81,Passed,"",ft.action,
"Click button(""@id='xdo:xdo:_paramsp_country_div_input_searchDialog_button'"")",,232,Passed,"",ft.action,
"Think: 2.54 (sec).",,2593,Passed,"",basic.comment,
"Click element(""@id='xdo:xdo:_paramsp_country_div_input_searchDialog_searchResults'"")",,345,Passed,"",ft.action,
"Think: 0.633 (sec).",,666,Passed,"",basic.comment,
"Click button(""@text='OK'"")",,188,Passed,"",ft.action,
"Think: 1.493 (sec).",,1523,Passed,"",basic.comment,
"Click textBox(""@id='xdo:xdo:_paramsInclude_sal_div_input'"")",,195,Passed,"",ft.action,
"Think: 0.374 (sec).",,401,Passed,"",basic.comment,
"Click element(""@text='With additional salary details'"")",,280,Passed,"",ft.action,
"Think: 2.324 (sec).",,2359,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,226,Passed,"",ft.action,
"Think: 5.819 (sec).",,5853,Passed,"",basic.comment,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,9486,Passed,"",web.pageComplete,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=14621535980497381&_adf.ctrl-state=hyie2l3jw_81",,1350,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,85,Passed,"",basic.finish,
