220657,1,HCM_Reports_Analytics_Certificate_GenerationEmploymentCertificate_0108,11/02/2020 10:41:21 AM,0,Failed,11/02/2020 10:37:40 AM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8511,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,7583,Passed,"",basic.step,
"Iteration Total (sec)",,205148,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,316,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,129,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dt%2BE28AF4fXhoige69WPq5EU%2F9ku6HKUgv7ckY72ujD1L17ATe8lZrI7SC0ydBV1WgFaYoaKDRhAuXIHzIPOVBQomf31Mj66d7wKDVPsVVA7fe8l9r%2BNGL5zd4Lfeh%2Bdejn9qqQzgty...",,8209,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,115,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,568,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,87,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,226,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dt%2BE28AF4fXhoige69WPq5EU%2F9ku6HKUgv7ckY72ujD1L17ATe8lZrI7SC0ydBV1WgFaYoaKDRhAuXIHzIPOVBQomf31Mj66d7wKDVPsVVA7fe8l9r%2BNGL5zd4Lfeh%2Bdejn9qqQzgty...",,1668,Passed,"",web.pageComplete,
"focus",,3056,Passed,"",ft.action,
"Think: 1.147 (sec).",,1201,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,87,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=16nmq3q7y8_5&_afrLoop=14677957463854504&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,1966,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3186,Passed,"",basic.comment,
"focus",,193,Passed,"",ft.action,
"Think: 0.147 (sec).",,184,Passed,"",basic.comment,
"Click link(""@id='c_a2ef4594a20a4dfc84df22a39504bd54'"")",,222,Passed,"",ft.action,
"Think: 1.147 (sec).",,1176,Passed,"",basic.comment,
"Click link(""@id='c_f809f583783847c58875eba137dd6438_0'"")",,239,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FEmployment%20Certificate%2FReport%2FEmplo...",,5842,Passed,"",web.pageComplete,
"Click element(""@id='xdo:xdo:_paramsp_person_number_div_input'"")",,240,Passed,"",ft.action,
"Think: 0.136 (sec).",,173,Passed,"",basic.comment,
"Click element(""@text='Search ...'"")",,193,Passed,"",ft.action,
"Think: 2.843 (sec).",,2886,Passed,"",basic.comment,
"SetText textBox(""@id='xdo:xdo:_paramsp_person_number_div_input_searchDialog_input'"") 5019020",,66,Passed,"",ft.action,
"Click button(""@id='xdo:xdo:_paramsp_person_number_div_input_searchDialog_button'"")",,215,Passed,"",ft.action,
"Think: 2.376 (sec).",,2410,Passed,"",basic.comment,
"Click element(""@id='xdo:xdo:_paramsp_person_number_div_input_searchDialog_searchResults'"")",,264,Passed,"",ft.action,
"Think: 0.204 (sec).",,245,Passed,"",basic.comment,
"Click button(""@text='OK'"")",,190,Passed,"",ft.action,
"Think: 1.753 (sec).",,1792,Passed,"",basic.comment,
"SetText textBox(""@id='xdo:xdo:_paramsP_Include_sal_div_input'"") With additional salary details",,54,Passed,"",ft.action,
"Find Object",,160540,Failed,"Find Object timeout. Detail information:{{obj.HCM_Reports_Analytics_Certificate_GenerationEmploymentCertificate_0108.Country_of_travel_Search}} = /web:window[@index='1' or @title='Single Sign-Off consent']/web:document[@index='1' or @name='generalObjectEditor1604225135109']/web:button[@id='xdo:xdo:_paramsp_country_div_input_searchDialog_button' or @name='xdo:xdo:_paramsp_country_div_input_searchDialog_button' or @index='4'].",ft.action,
"Finish Total (sec)",,6165,Passed,"",basic.finish,
"Click element(""@text='Sign Out'"")",,199,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,5225,Passed,"",web.pageComplete,
"closeBrowser",,187,Passed,"",ft.action,
"closeBrowser",,189,Passed,"",ft.action,
