75170,1,HCM_Reports_Analytics_Certificate_GenerationEmploymentCertificate_0108,11/02/2020 10:46:28 AM,0,Passed,11/02/2020 10:45:13 AM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8175,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,7382,Passed,"",basic.step,
"Iteration Total (sec)",,66257,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,267,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,83,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D28K%2Bty%2FEe29z9PQlCXQdlE%2BXaPMChPJsJDy3HiaNLs5c6Ah4Q8Iku6ynWXKDYePSjBCPdPhWYv%2B2LU7fjIwywetOFizb2Lpjsyym7AG3ERW3kS1OmpT40y3ok5%2FpBdLCPqKPgymf...",,8685,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,180,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,393,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,247,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,273,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D28K%2Bty%2FEe29z9PQlCXQdlE%2BXaPMChPJsJDy3HiaNLs5c6Ah4Q8Iku6ynWXKDYePSjBCPdPhWYv%2B2LU7fjIwywetOFizb2Lpjsyym7AG3ERW3kS1OmpT40y3ok5%2FpBdLCPqKPgymf...",,2106,Passed,"",web.pageComplete,
"focus",,3635,Passed,"",ft.action,
"Think: 1.147 (sec).",,1206,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,136,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=hko0zly7y_5&_afrLoop=14678411502541403&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1901,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3183,Passed,"",basic.comment,
"focus",,200,Passed,"",ft.action,
"Think: 0.147 (sec).",,186,Passed,"",basic.comment,
"Click link(""@id='c_a2ef4594a20a4dfc84df22a39504bd54'"")",,214,Passed,"",ft.action,
"Think: 1.147 (sec).",,1184,Passed,"",basic.comment,
"Click link(""@id='c_f809f583783847c58875eba137dd6438_0'"")",,224,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FEmployment%20Certificate%2FReport%2FEmplo...",,5822,Passed,"",web.pageComplete,
"Click element(""@id='xdo:xdo:_paramsp_person_number_div_input'"")",,219,Passed,"",ft.action,
"Think: 0.136 (sec).",,175,Passed,"",basic.comment,
"Click element(""@text='Search ...'"")",,240,Passed,"",ft.action,
"Think: 2.843 (sec).",,2888,Passed,"",basic.comment,
"SetText textBox(""@id='xdo:xdo:_paramsp_person_number_div_input_searchDialog_input'"") 5019020",,89,Passed,"",ft.action,
"Click button(""@id='xdo:xdo:_paramsp_person_number_div_input_searchDialog_button'"")",,179,Passed,"",ft.action,
"Think: 2.376 (sec).",,2411,Passed,"",basic.comment,
"Click element(""@id='xdo:xdo:_paramsp_person_number_div_input_searchDialog_searchResults'"")",,268,Passed,"",ft.action,
"Think: 0.204 (sec).",,252,Passed,"",basic.comment,
"Click button(""@text='OK'"")",,214,Passed,"",ft.action,
"Think: 1.753 (sec).",,1793,Passed,"",basic.comment,
"SetText textBox(""@id='xdo:xdo:_paramsP_Include_sal_div_input'"") With additional salary details",,126,Passed,"",ft.action,
"Think: 1.753 (sec).",,1781,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,209,Passed,"",ft.action,
"Think: 5.819 (sec).",,5847,Passed,"",basic.comment,
"Info",,1,Passed,"Comments: Certficate screenshot attached below.",basic.comment,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,10888,Passed,"",web.pageComplete,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=14678416808630658&_adf.ctrl-state=hko0zly7y_81",,1632,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,77,Passed,"",basic.finish,
