19128,1,HCM_Reports_Analytics_Certificate_GenerationEmploymentCertificate_0108,11/02/2020 12:15:44 PM,0,Failed,11/02/2020 12:15:25 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2677,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,1936,Passed,"",basic.step,
"Iteration Total (sec)",,15636,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,282,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,80,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=14683805450841943&_afrWindowMode=0&_afrWindowId=xogdqc1wz&_adf.ctrl-state=4opewt5gy_186&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrM...",,8188,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Failed to playback",,4941,Failed,"",ft.action,
"setText",,3525,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,156,Passed,"",basic.finish,
