219820,1,HCM_Reports_Analytics_Certificate_Generation_0107,11/01/2020 18:22:25 PM,0,Failed,11/01/2020 18:18:45 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,7128,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,6549,Passed,"",basic.step,
"Iteration Total (sec)",,212012,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,251,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,149,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D4ZRFCOTTJuqeAWylgkjL83Sb8vgEMUwtTo%2BhszM2xohoh8lwAL%2FTVBgEcDMsIlsJ9dtAwZufADtJ9xuV46L544UF%2FZXxF9qWI1Rx8%2FlAzgXEf5fLaobacNiCMHhvKr48kW79ych7Y3...",,8446,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,187,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,327,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,64,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,196,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D4ZRFCOTTJuqeAWylgkjL83Sb8vgEMUwtTo%2BhszM2xohoh8lwAL%2FTVBgEcDMsIlsJ9dtAwZufADtJ9xuV46L544UF%2FZXxF9qWI1Rx8%2FlAzgXEf5fLaobacNiCMHhvKr48kW79ych7Y3...",,1539,Passed,"",web.pageComplete,
"focus",,3375,Passed,"",ft.action,
"Think: 1.147 (sec).",,1214,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,62,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=1a15tjm32m_5&_afrLoop=14619221011635658&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,1816,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3193,Passed,"",basic.comment,
"focus",,233,Passed,"",ft.action,
"Think: 0.147 (sec).",,190,Passed,"",basic.comment,
"Click link(""@id='c_a2ef4594a20a4dfc84df22a39504bd54'"")",,203,Passed,"",ft.action,
"Think: 0.147 (sec).",,175,Passed,"",basic.comment,
"Click link(""@id='c_df012d6163e8422ab1ef1ad0f591f9f0_0'"")",,278,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FEmbassy%20Certificate%2FReport%2FEmbassy%...",,5519,Passed,"",web.pageComplete,
"Think: 5.753 (sec).",,5798,Passed,"",basic.comment,
"Click element(""@text=' '"")",766,199,Passed,"",ft.action,
"Think: 2.078 (sec).",,2109,Passed,"",basic.comment,
"Click element(""@text='Search ...'"")",767,205,Passed,"",ft.action,
"Think: 5.383 (sec).",,5416,Passed,"",basic.comment,
"SetText textBox(""@id='xdo:xdo:_paramsp_country_div_input_searchDialog_input'"") Afghanistan",,83,Passed,"",ft.action,
"Think: 0.54 (sec).",,575,Passed,"",basic.comment,
"Click button(""@id='xdo:xdo:_paramsp_country_div_input_searchDialog_button'"")",,192,Passed,"",ft.action,
"Think: 2.54 (sec).",,2578,Passed,"",basic.comment,
"Click element(""@id='xdo:xdo:_paramsp_country_div_input_searchDialog_searchResults'"")",,350,Passed,"",ft.action,
"Think: 1.633 (sec).",,1666,Passed,"",basic.comment,
"Find Object",,160744,Failed,"Find Object timeout. Detail information:{{obj.HCM_Reports_Analytics_Certificate_Generation_0107.OK_Button}} = /web:window[@index='1' or @title='Single Sign-Off consent']/web:document[@index='1' or @name='generalObjectEditor1604225135109']/web:button[@index='5'].",ft.action,
"Finish Total (sec)",,61,Passed,"",basic.finish,
