100459,1,HCM_Reports_Analytics_Certificate_Generation_HousingProofCertificate_0109,11/02/2020 17:41:18 PM,0,Passed,11/02/2020 17:39:37 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,10873,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,10281,Passed,"",basic.step,
"Iteration Total (sec)",,78368,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,240,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,46,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D6LzmGYqkwgGUMmfLaLVKP4kpie8%2FtNL2b7p5GGMBi68x4KnAOQKqir2S%2B3EWRcBpHrFEsL2awznAqa9hmkKuT1ILFRzgUoAxz66tsL9GgUxkV%2FH5oGxE%2FLfbBAQQfyCwzFFwT7yVZb...",,8280,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,59,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,535,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,64,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,295,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D6LzmGYqkwgGUMmfLaLVKP4kpie8%2FtNL2b7p5GGMBi68x4KnAOQKqir2S%2B3EWRcBpHrFEsL2awznAqa9hmkKuT1ILFRzgUoAxz66tsL9GgUxkV%2FH5oGxE%2FLfbBAQQfyCwzFFwT7yVZb...",,1626,Passed,"",web.pageComplete,
"focus",,2400,Passed,"",ft.action,
"Think: 1.147 (sec).",,1177,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,48,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=biirwmql_5&_afrLoop=14703273731114729&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1816,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3200,Passed,"",basic.comment,
"focus",,216,Passed,"",ft.action,
"Think: 0.147 (sec).",,205,Passed,"",basic.comment,
"Click link(""@id='c_a2ef4594a20a4dfc84df22a39504bd54'"")",,328,Passed,"",ft.action,
"Think: 1.147 (sec).",,1185,Passed,"",basic.comment,
"Click link(""@id='c_527bb5c3db5d4c6aac9a499c22b317d6_0'"")",,235,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FHousing%20Proof%20Certificate%2FReport%2F...",,5369,Passed,"",web.pageComplete,
"Click element(""@id='xdo:xdo:_paramsperson_number_div_input'"")",,249,Passed,"",ft.action,
"Think: 0.136 (sec).",,160,Passed,"",basic.comment,
"Click element(""@text='Search ...'"")",,263,Passed,"",ft.action,
"Think: 2.843 (sec).",,2901,Passed,"",basic.comment,
"SetText textBox(""@id='xdo:xdo:_paramsperson_number_div_input_searchDialog_input'"") 5019020",,41,Passed,"",ft.action,
"Click button(""@id='xdo:xdo:_paramsperson_number_div_input_searchDialog_button'"")",,238,Passed,"",ft.action,
"Think: 2.376 (sec).",,2416,Passed,"",basic.comment,
"Click element(""@id='xdo:xdo:_paramsperson_number_div_input_searchDialog_searchResults'"")",,301,Passed,"",ft.action,
"Think: 0.204 (sec).",,277,Passed,"",basic.comment,
"Click button(""@text='OK'"")",,300,Passed,"",ft.action,
"Think: 1.753 (sec).",,1780,Passed,"",basic.comment,
"SetText textBox(""@id='xdo:xdo:_paramsP_ADDRESS_TYPE_div_input'"") Home Address (ROAD NO-01 H.N0-02 SOUTH PARK AZADNAGAR, IN)",,52,Passed,"",ft.action,
"Think: 1.753 (sec).",,1780,Passed,"",basic.comment,
"Click link(""@text='Housing Proof_Arabic'"")",,181,Passed,"",ft.action,
"Click button(""@id='reportViewApply'"")",,252,Passed,"",ft.action,
"Think: 2.819 (sec).",,2862,Passed,"",basic.comment,
"Info",,1,Passed,"Comments: Certficate screenshot attached below.",basic.comment,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,9257,Passed,"",web.pageComplete,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,8537,Passed,"",web.capPage,
"Click link(""@text='Housing Proof_English'"")",,259,Passed,"",ft.action,
"Click button(""@id='reportViewApply'"")",,215,Passed,"",ft.action,
"Think: 2.676 (sec).",,2695,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,8559,Passed,"",web.capPage,
"Finish Total (sec)",,10747,Passed,"",basic.finish,
"Click element(""@text='Sign Out'"")",,800,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,9413,Passed,"",web.pageComplete,
"closeBrowser",,36,Passed,"",ft.action,
"closeBrowser",,32,Passed,"",ft.action,
