105397,1,HCM_Reports_Analytics_Certificate_Generation_NoObjectionCertificate_0110,11/03/2020 13:15:16 PM,0,Passed,11/03/2020 13:13:30 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8134,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,7494,Passed,"",basic.step,
"Iteration Total (sec)",,96734,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,172,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,42,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Da2Uh9BYdLfGZnT2A2dczEg%2FEMz6eg0ZUmCs6NBWiwq2Qin6RZXPj6jBJMHThs3hQ%2BfdWy0OF5d6khEMv9F3leBT9So6uLoS0IRsZKkcWTXtcfgEQz7LUucv0UO4XCD0WEcM3z0V7UBPto1...",,8357,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,70,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,351,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,69,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,230,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Da2Uh9BYdLfGZnT2A2dczEg%2FEMz6eg0ZUmCs6NBWiwq2Qin6RZXPj6jBJMHThs3hQ%2BfdWy0OF5d6khEMv9F3leBT9So6uLoS0IRsZKkcWTXtcfgEQz7LUucv0UO4XCD0WEcM3z0V7UBPto1...",,1348,Passed,"",web.pageComplete,
"focus",,4457,Passed,"",ft.action,
"Think: 1.147 (sec).",,1208,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,48,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=pyluzhoq2_5&_afrLoop=14773704104421181&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1464,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3170,Passed,"",basic.comment,
"focus",,216,Passed,"",ft.action,
"Think: 0.147 (sec).",,193,Passed,"",basic.comment,
"Click link(""@id='c_a2ef4594a20a4dfc84df22a39504bd54'"")",,387,Passed,"",ft.action,
"Think: 1.147 (sec).",,1174,Passed,"",basic.comment,
"Click link(""@id='c_de53f31db50949c188aa4f0cf53990c3_0'"")",,203,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FNo%20Objection%20Certificate%2FReport%2FN...",,5470,Passed,"",web.pageComplete,
"Click element(""@id='xdo:xdo:_paramsp_person_number_div_input'"")",,227,Passed,"",ft.action,
"Think: 0.136 (sec).",,157,Passed,"",basic.comment,
"Click element(""@text='Search ...'"")",,178,Passed,"",ft.action,
"Think: 2.843 (sec).",,2873,Passed,"",basic.comment,
"SetText textBox(""@id='xdo:xdo:_paramsp_person_number_div_input_searchDialog_input'"") 5019020",,60,Passed,"",ft.action,
"Click button(""@id='xdo:xdo:_paramsp_person_number_div_input_searchDialog_button'"")",,192,Passed,"",ft.action,
"Think: 2.376 (sec).",,2404,Passed,"",basic.comment,
"Click element(""@id='xdo:xdo:_paramsp_person_number_div_input_searchDialog_searchResults'"")",,200,Passed,"",ft.action,
"Think: 0.204 (sec).",,225,Passed,"",basic.comment,
"Click button(""@text='OK'"")",,187,Passed,"",ft.action,
"Click button(""@id='reportViewApply'"")",,219,Passed,"",ft.action,
"Think: 2.819 (sec).",,2839,Passed,"",basic.comment,
"Info",,1,Passed,"Comments: Certficate screenshot attached below.",basic.comment,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,9218,Passed,"",web.pageComplete,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,8547,Passed,"",web.capPage,
"Click link(""@text='NoObjectionCertificate'"")",,226,Passed,"",ft.action,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,8560,Passed,"",web.capPage,
"Finish Total (sec)",,53,Passed,"",basic.finish,
