32711,1,HCM_ManageDocumentRecords_Add_Record_1_0077,11/22/2020 14:47:54 PM,0,Failed,11/22/2020 14:47:21 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4910,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,4447,Passed,"",basic.step,
"Iteration Total (sec)",,27307,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,138,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,66,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DrzFR8qFEXG9Q2qrdsAsh5KKmH8WpBKNAiSsdHqHKSGRgVAr0kTk5tBdP3tx4R%2F5P%2FQo%2FnMP%2FG1NuqR0jkuLrHO4PbvC0I4WYOgnbL62L%2F%2BuN1HXNzJWP6pq8oUd%2BqjICPBuK...",,7250,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,106,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,351,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,79,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,259,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DrzFR8qFEXG9Q2qrdsAsh5KKmH8WpBKNAiSsdHqHKSGRgVAr0kTk5tBdP3tx4R%2F5P%2FQo%2FnMP%2FG1NuqR0jkuLrHO4PbvC0I4WYOgnbL62L%2F%2BuN1HXNzJWP6pq8oUd%2BqjICPBuK...",,1512,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2438,Passed,"",basic.comment,
"Click link(""@id='pt1:commandLink1'"")",,652,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=11zq1q0gsn_5&_afrLoop=16420930462580069&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,1735,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 4.387 (sec).",,4418,Passed,"",basic.comment,
"focus",,181,Passed,"",ft.action,
"Think: 0.147 (sec).",,178,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,248,Passed,"",ft.action,
"Think: 3.147 (sec).",,3166,Passed,"",basic.comment,
"Click link(""@text='Document Records'"")",,240,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=11zq1q0gsn_5",,1628,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Failed to playback",,23,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,36,Failed,"",basic.finish,
"Failed to playback",,79,Failed,"Failed to playback: No browser launched.",ft.action,
