40897,1,HCM_Submit_Resignation_PastDate_N_0115,11/08/2020 18:18:25 PM,0,Failed,11/08/2020 18:17:44 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1457,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.183",,863,Passed,"",basic.step,
"Iteration Total (sec)",,38837,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,141,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,60,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=15223939771779878&_afrWindowMode=0&_afrWindowId=1dnpv732uk&_adf.ctrl-state=gunof8dtn_186&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afr...",,11984,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Failed to playback",,25112,Failed,"",ft.action,
"setText",,24477,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,118,Failed,"",basic.finish,
"Failed to playback",,135,Failed,"Failed to playback: No browser launched.",ft.action,
