96418,1,HCM_View_Organizational_Chart_0123,11/19/2020 13:14:09 PM,0,Passed,11/19/2020 13:12:32 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5119,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,4540,Passed,"",basic.step,
"Iteration Total (sec)",,90757,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,176,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,57,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DW8x5W4KiQ8DIiKhh7N6Wr4U4uhN%2FKxfQDy8XWF3QRJsGvq0fp%2F1eO4EWIawkVhSR692XzLFkPS4gEg4u%2FquZiV84%2BgOz5CAUzWBpsM37OKlvTTB6gnl%2BCnPRF0dnhxsx4NAICOYO...",,8918,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,88,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,311,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,71,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,229,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DW8x5W4KiQ8DIiKhh7N6Wr4U4uhN%2FKxfQDy8XWF3QRJsGvq0fp%2F1eO4EWIawkVhSR692XzLFkPS4gEg4u%2FquZiV84%2BgOz5CAUzWBpsM37OKlvTTB6gnl%2BCnPRF0dnhxsx4NAICOYO...",,1427,Passed,"",web.pageComplete,
"focus",,3445,Passed,"",ft.action,
"Think: 3.147 (sec).",,3177,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,52,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=sapr736t8_5&_afrLoop=16156043715672727&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1648,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1195,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=16156050560682447&_adf.ctrl-state=sapr736t8_81",,1218,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_my_information'"")",,206,Passed,"",ft.action,
"Think: 0.868 (sec).",,889,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=16156050560682447&_adf.ctrl-state=sapr736t8_81",,1132,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_DIRECTORY_0'"")",,209,Passed,"",ft.action,
"Think: 5.791 (sec).",,5820,Passed,"",basic.comment,
"focus",,230,Passed,"",ft.action,
"DoubleClick element(""@text='My Organization Chart'"")",,91,Passed,"",ft.action,
"Click element(""@text='My Organization Chart'"")",,226,Passed,"",ft.action,
"Think: 6.312 (sec).",,6331,Passed,"",basic.comment,
"Click textBox(""@id='pt1:_FOr1:1:_FONSr2:0:MAnt2:1:pDtlUpl:UPsp1:ffs1:hf05sf:hf03Inp::content'"")",,26744,Passed,"",ft.action,
"Think: 1.716 (sec).",,1741,Passed,"",basic.comment,
"SetText textBox(""@id='pt1:_FOr1:1:_FONSr2:0:MAnt2:1:pDtlUpl:UPsp1:ffs1:hf05sf:hf03Inp::content'"") 100111",,98,Passed,"",ft.action,
"Click image(""@alt='Search'"")",,223,Passed,"",ft.action,
"Think: 1.513 (sec).",,1536,Passed,"",basic.comment,
"Click image(""@alt='Mohammad Mahtab Khan'"")",,841,Passed,"",ft.action,
"Think: 3.843 (sec).",,3867,Passed,"",basic.comment,
"Click link(""@id='pt1:_UISlg1'"")",,269,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_DIRECTORY&_afrLoop=16156057756256658&_afrWindowMode=0&_afrWindowId=d6w3uxwdc&_ad...",,2236,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10030,Passed,"",basic.comment,
"Click button(""@id='Confirm'"")",945,221,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?_adf.ctrl-state=rgqg68xqy_5&fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_DIRECTORY",,1981,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,76,Passed,"",basic.finish,
