60515,1,HCM_View_Organizational_Chart_0123,11/19/2020 13:20:51 PM,0,Failed,11/19/2020 13:19:50 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4669,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,4164,Passed,"",basic.step,
"Iteration Total (sec)",,55360,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,133,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,48,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUGC%2FbmR8Ea3R3LoGOB934VtpFSib8HKrqVilAw4xLveIO0UXfHj%2FsKliDE%2Fd359bBcXAJ9hGb3zqLIU62O%2FDadurtcZmSDE8ZTOQDMVK9YW0P%2BDmX2MlqmTnhdNwEbbwkjIqrvky...",,9623,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,96,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,321,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,85,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,244,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUGC%2FbmR8Ea3R3LoGOB934VtpFSib8HKrqVilAw4xLveIO0UXfHj%2FsKliDE%2Fd359bBcXAJ9hGb3zqLIU62O%2FDadurtcZmSDE8ZTOQDMVK9YW0P%2BDmX2MlqmTnhdNwEbbwkjIqrvky...",,1450,Passed,"",web.pageComplete,
"focus",,3381,Passed,"",ft.action,
"Think: 3.147 (sec).",,3187,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,65,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=hz0zobl9i_5&_afrLoop=16156482353256574&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1652,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1184,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=16156488623632138&_adf.ctrl-state=hz0zobl9i_81",,1193,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_my_information'"")",,210,Passed,"",ft.action,
"Think: 0.868 (sec).",,897,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=16156488623632138&_adf.ctrl-state=hz0zobl9i_81",,1196,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_DIRECTORY_0'"")",,210,Passed,"",ft.action,
"Think: 5.791 (sec).",,5818,Passed,"",basic.comment,
"focus",,238,Passed,"",ft.action,
"Think: 0.868 (sec).",,894,Passed,"",basic.comment,
"Click element(""@text='My Organization Chart'"")",,219,Passed,"",ft.action,
"Think: 6.312 (sec).",,6334,Passed,"",basic.comment,
"Failed to playback",,13816,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,73,Passed,"",basic.finish,
