79591,1,HCM_Delete_ContractExtension_RetirementEmployees_60 yrs_0231,5/03/2021 22:14:38 PM,0,Passed,5/03/2021 22:13:18 PM,basic.step,HCM Manager Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2241,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.93",,1843,Passed,"",basic.step,
"Iteration Total (sec)",,76996,Passed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,104,Passed,"",ft.action,
"Think: 5 (sec).",,5032,Passed,"",basic.comment,
"Maximize window(""@index='0'"")",,24,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DC%2F6JI5a8l8vwMuhLSNSEg2kLstc1DByDaWQMha5%2Ft42WijXO5SQAU0NdM5NvnA7qv2vZwcMrbSw7uKXRW2ftClKZSe88Pp6mezY1vVJb9QN93DWtt1Kk5BsSNbsmLhTKtTSPrivuNM2zuA...",,1543,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") pandas@maaden.com.sa",,70,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,255,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,88,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,218,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DC%2F6JI5a8l8vwMuhLSNSEg2kLstc1DByDaWQMha5%2Ft42WijXO5SQAU0NdM5NvnA7qv2vZwcMrbSw7uKXRW2ftClKZSe88Pp6mezY1vVJb9QN93DWtt1Kk5BsSNbsmLhTKtTSPrivuNM2zuA...",,1360,Passed,"",web.pageComplete,
"Think: 3 (sec).",,3041,Passed,"",basic.comment,
"focus",,185,Passed,"",ft.action,
"Think: 1.147 (sec).",,1167,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,64,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=y5i0xwlq2_1&_adf.no-new-window-redirect=true&_afrLoop=5163553157962435&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1410,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1167,Passed,"",basic.comment,
"Click link(""@text='My Team'"")",268,302,Passed,"",ft.action,
"Think: 0.452 (sec).",,479,Passed,"",basic.comment,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_MY_TEAM_0'"")",,234,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5163558826349385&_adf.ctrl-state=y5i0xwlq2_81",,1477,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.126 (sec).",,2154,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTsr1:0:Mt1Rgn:0:Mt1Upl:UPsp1:ffs1:hf04Sbv:Mt7Pce:Mt2Lv:0:Mt2Pse:Mt4Cl'"")",,131,Passed,"",ft.action,
"Think: 3.126 (sec).",,3155,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:sds1::text'"")",,254,Passed,"",ft.action,
"Think: 3.97 (sec).",,3996,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:sdi2::text'"")",,295,Passed,"",ft.action,
"Think: 2.441 (sec).",,2464,Passed,"",basic.comment,
"Click image(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:tf2:1:dorUpl:UPsp1:dorPce:dorfs1:hf04Sbv:dorLv:0:dorPse:det1Cil::icon'"")",,202,Passed,"",ft.action,
