46597,1,HCM_Delete_ContractExtension_RetirementEmployees_60 yrs_0231,5/03/2021 22:17:58 PM,0,Failed,5/03/2021 22:17:11 PM,basic.step,HCM Manager Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3154,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.93",,2751,Passed,"",basic.step,
"Iteration Total (sec)",,43056,Failed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,94,Passed,"",ft.action,
"Think: 5 (sec).",,5030,Passed,"",basic.comment,
"Maximize window(""@index='0'"")",,26,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dgo1NPm7xSc2W9cdp6EONdabBwEvnjqVAgOiEWOZH0enVmT4UiczQk7%2F4NfSvwhwZsLfvYvFgDsUs5MJJ8pOo58pFkQ%2FG0T3VVhUQqVPs5HBmIh01eUHvfUkjANKkhT0WjiRj4T%2BcHNow...",,1718,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") pandas@maaden.com.sa",,79,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,335,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,75,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,210,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dgo1NPm7xSc2W9cdp6EONdabBwEvnjqVAgOiEWOZH0enVmT4UiczQk7%2F4NfSvwhwZsLfvYvFgDsUs5MJJ8pOo58pFkQ%2FG0T3VVhUQqVPs5HBmIh01eUHvfUkjANKkhT0WjiRj4T%2BcHNow...",,1373,Passed,"",web.pageComplete,
"Think: 3 (sec).",,3025,Passed,"",basic.comment,
"focus",,212,Passed,"",ft.action,
"Think: 1.147 (sec).",,1167,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,57,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=139uuz09e1_1&_adf.no-new-window-redirect=true&_afrLoop=5163787066109245&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1444,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1167,Passed,"",basic.comment,
"Click link(""@text='My Team'"")",268,264,Passed,"",ft.action,
"Think: 0.452 (sec).",,488,Passed,"",basic.comment,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_MY_TEAM_0'"")",,389,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5163793124451568&_adf.ctrl-state=139uuz09e1_81",,1528,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.126 (sec).",,2150,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:sds1::text'"")",,262,Passed,"",ft.action,
"Think: 3.97 (sec).",,4003,Passed,"",basic.comment,
"Failed to playback",,9,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,45,Passed,"",basic.finish,
