70236,1,HCM_ServiceContractExtension_0226,5/01/2021 01:18:18 AM,0,Passed,5/01/2021 01:17:08 AM,basic.step,HCM Manager Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2839,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.93",,2345,Passed,"",basic.step,
"Iteration Total (sec)",,66996,Passed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,81,Passed,"",ft.action,
"Think: 5 (sec).",,5033,Passed,"",basic.comment,
"Maximize window(""@index='0'"")",,25,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DscRvQ2TaqNEgnSGdPn1Nkyo6w83w%2BYzhtfwpRYI01m4QaV1EvvWm6EAZtpPu%2FH7IglgYEcCo4zskXcgv5Ak0Q4gLTcK10bcrYB5Ie5CTJoJsioIAsisgWs7LYh2uxCHdlBead1trcRP%2F...",,1342,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") pandas@maaden.com.sa",,75,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,376,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,81,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,204,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DscRvQ2TaqNEgnSGdPn1Nkyo6w83w%2BYzhtfwpRYI01m4QaV1EvvWm6EAZtpPu%2FH7IglgYEcCo4zskXcgv5Ak0Q4gLTcK10bcrYB5Ie5CTJoJsioIAsisgWs7LYh2uxCHdlBead1trcRP%2F...",,1315,Passed,"",web.pageComplete,
"focus",,2269,Passed,"",ft.action,
"Think: 1.147 (sec).",,1166,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,54,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=11l2iybems_1&_adf.no-new-window-redirect=true&_afrLoop=4915383707570289&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1382,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3166,Passed,"",basic.comment,
"Click link(""@text='My Team'"")",268,228,Passed,"",ft.action,
"Think: 2.452 (sec).",,2467,Passed,"",basic.comment,
"Click link(""@text='Employment Contracts'"")",,220,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=4915387883776965&_adf.ctrl-state=11l2iybems_81",,3000,Passed,"",web.pageComplete,
"Think: 2.007 (sec).",,2033,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:hp01Upl:UPsp1:hp01Pce:hp01Lv:0:hp01Pse:hp02Cl'"")",,209,Passed,"",ft.action,
"Think: 2.718 (sec).",,2735,Passed,"",basic.comment,
"Info",,0,Passed,"Comments: Before adding the Contract Extensions, below is the  screen shot.",basic.comment,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FQuickActionSearchFlow.xml%2523QuickActionSearchFlow%3BfndW...",,991,Passed,"",web.capPage,
