52626,1,HCM_Delete_ServiceContractExtension_0228,5/01/2021 02:35:13 AM,0,Passed,5/01/2021 02:34:21 AM,basic.step,HCM Manager Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3172,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.93",,2790,Passed,"",basic.step,
"Iteration Total (sec)",,49090,Passed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,98,Passed,"",ft.action,
"Think: 5 (sec).",,5033,Passed,"",basic.comment,
"Maximize window(""@index='0'"")",,25,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DdETXxZhIGm%2B2EGmP3HbuNoSgftyVaoioOc0QQR%2F2miaHmRV9ynd5wpyNORfqRtqJaVfibxSb7J%2BDGjulC0DyZZybyxNmta4y7GyE%2F7IbEeS0xd4DSLthFt5cPLZ%2Bxna1qPtnN8YN...",,1299,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") pandas@maaden.com.sa",,76,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,257,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,73,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,205,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DdETXxZhIGm%2B2EGmP3HbuNoSgftyVaoioOc0QQR%2F2miaHmRV9ynd5wpyNORfqRtqJaVfibxSb7J%2BDGjulC0DyZZybyxNmta4y7GyE%2F7IbEeS0xd4DSLthFt5cPLZ%2Bxna1qPtnN8YN...",,1346,Passed,"",web.pageComplete,
"focus",,2246,Passed,"",ft.action,
"Think: 1.147 (sec).",,1167,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,52,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=9f5zhmnxj_1&_adf.no-new-window-redirect=true&_afrLoop=4920016176755490&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1377,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3167,Passed,"",basic.comment,
"Click link(""@text='My Team'"")",268,195,Passed,"",ft.action,
"Think: 2.452 (sec).",,2466,Passed,"",basic.comment,
"Click link(""@text='Employment Contracts'"")",,218,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=4920020362192261&_adf.ctrl-state=9f5zhmnxj_81",,2520,Passed,"",web.pageComplete,
"Think: 2.007 (sec).",,2030,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:hp01Upl:UPsp1:hp01Pce:hp01Lv:0:hp01Pse:hp02Cl'"")",,224,Passed,"",ft.action,
"Think: 2.718 (sec).",,2733,Passed,"",basic.comment,
"Info",,0,Passed,"Comments: Before adding the Contract Extensions, below is the  screen shot.",basic.comment,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FQuickActionSearchFlow.xml%2523QuickActionSearchFlow%3BfndW...",,984,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click image(""@alt='Edit'"")",,210,Passed,"",ft.action,
"Think: 1.372 (sec).",,1396,Passed,"",basic.comment,
"Click element(""@text='Delete'"")",,230,Passed,"",ft.action,
