60826,1,HCM_ViewPreviousEmploymentforDirectReports_0233,5/09/2021 11:12:29 AM,0,Passed,5/09/2021 11:11:28 AM,basic.step,HCM Manager Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3291,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.93",,2858,Passed,"",basic.step,
"Iteration Total (sec)",,57170,Passed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,92,Passed,"",ft.action,
"Think: 5 (sec).",,5032,Passed,"",basic.comment,
"Maximize window(""@index='0'"")",,23,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DFRXLgoHEgkCBhTfA7DUniITfWCwFlFg%2FubcdhPAhrskH0scbv08EzqKNfE03GCtCRELj62q8efOel0MWSgKXzs3Dp8m5KyN4hXYclBzIaV8YuP%2FBoa870jYWrFGc%2BuhR85zXuJyrMwBv...",,1320,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") pandas@maaden.com.sa",,73,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,349,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,63,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,225,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DFRXLgoHEgkCBhTfA7DUniITfWCwFlFg%2FubcdhPAhrskH0scbv08EzqKNfE03GCtCRELj62q8efOel0MWSgKXzs3Dp8m5KyN4hXYclBzIaV8YuP%2FBoa870jYWrFGc%2BuhR85zXuJyrMwBv...",,1344,Passed,"",web.pageComplete,
"Think: 3 (sec).",,3025,Passed,"",basic.comment,
"focus",,180,Passed,"",ft.action,
"Think: 1.147 (sec).",,1166,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,63,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=h9dki7wat_1&_adf.no-new-window-redirect=true&_afrLoop=5642241475632135&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1375,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1165,Passed,"",basic.comment,
"Click link(""@text='My Team'"")",268,246,Passed,"",ft.action,
"Think: 0.452 (sec).",,471,Passed,"",basic.comment,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_MY_TEAM_0'"")",,205,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5642246768040648&_adf.ctrl-state=h9dki7wat_81",,2766,Passed,"",web.pageComplete,
"Think: 2.126 (sec).",,2147,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTsr1:0:Mt1Rgn:0:Mt1Upl:UPsp1:ffs1:hf04Sbv:Mt7Pce:Mt2Lv:0:Mt2Pse:Mt4Cl'"")",,56,Passed,"",ft.action,
"Think: 3.126 (sec).",,3140,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:sds1::text'"")",,277,Passed,"",ft.action,
"Think: 3.97 (sec).",,3984,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:2:sdi1::text'"")",,287,Passed,"",ft.action,
"Think: 2.97 (sec).",,2985,Passed,"",basic.comment,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_MY_TEAM&_afrLoop=5642250509271695&_afrWindowMode=0&_afrWindowId=hrrz0gs3h&_adf.c...",640,1013,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click image(""@alt='Expand'"")",,196,Passed,"",ft.action,
"Think: 3.605 (sec).",,3622,Passed,"",basic.comment,
"DoubleClick element(""@text='2015'"")",,62,Passed,"",ft.action,
"DoubleClick element(""@className='x3b8'"")",,61,Passed,"",ft.action,
"Think: 0.606 (sec).",,618,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,185,Passed,"",ft.action,
"Think: 3.856 (sec).",,3874,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,194,Passed,"",ft.action,
"Think: 3.798 (sec).",,3817,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,197,Passed,"",ft.action,
"Think: 3.798 (sec).",,3811,Passed,"",basic.comment,
"DoubleClick element(""@text='Previous Employment Details'"")",,61,Passed,"",ft.action,
"Click element(""@text='Previous Employment Details'"")",,194,Passed,"",ft.action,
"Think: 1.506 (sec).",,1520,Passed,"",basic.comment,
"Click image(""@alt='Collapse'"")",,209,Passed,"",ft.action,
"Think: 1.588 (sec).",,1603,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,211,Passed,"",ft.action,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_MY_TEAM&_afrLoop=5642250509271695&_afrWindowMode=0&_afrWindowId=hrrz0gs3h&_adf.c...",640,1075,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,32,Passed,"",basic.finish,
