81938,1,HCM_ViewSkillsAndQualifications_0231,5/05/2021 18:12:50 PM,0,Failed,5/05/2021 18:11:28 PM,basic.step,HCM Manager Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1308,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.93",,771,Passed,"",basic.step,
"Iteration Total (sec)",,80191,Failed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,108,Passed,"",ft.action,
"Think: 5 (sec).",,5049,Passed,"",basic.comment,
"Maximize window(""@index='0'"")",,21,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=5321834252592073&_afrWindowMode=0&_afrWindowId=zx7s589g3&_adf.ctrl-state=148bbjyylt_186&_afrFS=16&_afrMT=screen&_afrMFW=1280&_afrMFH=534&_afrM...",,34263,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Failed to playback",,39644,Failed,"",ft.action,
"setText",,39222,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,42,Passed,"",basic.finish,
