73956,1,HCM_ ManageDepartment_0015,6/09/2020 12:58:12 PM,0,Failed,6/09/2020 12:56:58 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4164,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,3542,Passed,"",basic.step,
"Iteration Total (sec)",,69026,Failed,"",basic.iteration,
"Info",,1,Passed,"Comments: Name from data sheet is : --> Insurance",basic.comment,
"Info",,0,Passed,"Comments: locationCode from data sheet is : 0018",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,24963,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,80,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dvfj1uCgPjKFDxJOdQs%2Bk%2F7pk%2BcYnZ8DZL4h8KUC7fPIrK%2BxR6pnB0c9tuxp5pEyPv7uYy70HSf2nt%2B6e9x6MC8hFESUZhrzHmd9kcXqkxouN1tzE%2BHQWVFaQQX56mK9OIX7DK%2Fd4KaFKsNxDqKq...",,9785,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,177,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,35,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,133,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=fee7vnng7_5&_afrLoop=393950329664407&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=...",,9584,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,104,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=393959563619629&_adf.ctrl-state=fee7vnng7_65",,3992,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,232,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,214,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=393959563619629&_adf.ctrl-state=fee7vnng7_65#",,824,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,0,Passed,"Comments: Title of the page is : Oracle Applications",basic.comment,
"focus",28,9417,Passed,"",ft.action,
"Think: 0.1 (sec).",,126,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:4:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,2064,Passed,"",ft.action,
"Think: 0.279 (sec).",,307,Passed,"",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=393951359726203&_afrWindowMode=0&_afrWindowId=917yrjpih&_...",,661,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Failed to playback",,27863,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,323,Failed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,42,Failed,"",basic.stepGroup,
"Failed to playback",,3,Failed,"Failed to playback: No browser launched.",ft.action,
