148763,1,HCM_DefectTesting,6/01/2020 15:11:18 PM,0,Failed,6/01/2020 15:08:51 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4436,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,3611,Passed,"",basic.step,
"Iteration Total (sec)",,141785,Failed,"",basic.iteration,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",2,187,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",4,4321,Passed,"",web.pageComplete,
"Think: 2.817 (sec).",,2879,Passed,"",basic.comment,
"SetText textBox(""@id='userid'"") Sujit.swain",5,240,Passed,"",ft.action,
"Think: 1.133 (sec).",,1180,Passed,"",basic.comment,
"PressTab textBox(""@id='userid'"")",6,181,Passed,"",ft.action,
"Think: 1.259 (sec).",,1289,Passed,"",basic.comment,
"Click button(""@id='btnActive'"")",7,188,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7573088334851909&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=43rdrux16_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=906&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",8,20868,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.404 (sec).",,3436,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management_2'"")",10,196,Passed,"",ft.action,
"Think: 3.206 (sec).",,3245,Passed,"",basic.comment,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",11,126,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=7573094574856623&_afrWindowMode=0&_afrWindowId=1bxm20i9ex...",12,15778,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 17.427 (sec).",,17449,Passed,"",basic.comment,
"Click ADFCommandLink(""@absoluteLocator='_FOpt1:_FOr1:_FOSritemNode_workforce_management_workforce_structures:_FOTsr1:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv[0]:ll01Pse:ll01Cl' or @text='Manage Positions'"")",15,7050,Passed,"",basic.stepGroup,
"Think: 0.285 (sec).",,311,Passed,"",basic.comment,
"Find Object",,60800,Failed,"Find Object timeout. Detail information:{{obj.HCM_DefectTesting.web_ADFListView__FOpt1__FOr1__FOSritemNod}} = /web:window[@index='0' or @title='Workforce Structures - Workforce Structures - Oracle Applications']/web:document[@index='0' or @name='yqvwxqpyf']/web:ADFListView[@absoluteLocator='_FOpt1:_FOr1:_FOSritemNode_workforce_management_workforce_structures:_FOTsr1:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv' and @id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv'].",ft.action,
"Finish Total (sec)",,56,Passed,"",basic.finish,
