61842,1,HCM_ManageDepartment_WithInvalidDeptName_0016,6/09/2020 18:52:12 PM,0,Passed,6/09/2020 18:51:10 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3371,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,2730,Passed,"",basic.step,
"Iteration Total (sec)",,40055,Passed,"",basic.iteration,
"Info",,2,Passed,"Comments: Name from data sheet is : --> Central Treasury11",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,20800,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,71,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DLRsBbEZtUYci6z9%2BA%2BR%2BJnte1IhAPSIUWLxxx73rR6CFbxFShEMiUIddOm5bSgqKajbeTVsgtv4a9kNHry7N2jXhxJrmTQnQ%2F42hzk546Vevr1Q6%2B4TtylgPlC%2F%2Fj9GgHO%2BVaF3oVarVb66Tz...",,9838,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,161,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,44,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,125,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=autipisix_5&_afrLoop=415187757637674&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=...",,6296,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,98,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=415193345095619&_adf.ctrl-state=autipisix_65",,3237,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,257,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,818,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=415193345095619&_adf.ctrl-state=autipisix_65#",,758,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,0,Passed,"Comments: Title of the page is : Oracle Applications",basic.comment,
"focus",28,6189,Passed,"",ft.action,
"Think: 0.1 (sec).",,121,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:4:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,1727,Passed,"",ft.action,
"Think: 0.279 (sec).",,307,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:4:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,1755,Passed,"",ft.action,
"Think: 2.352 (sec).",,2386,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"")",,133,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"") Central Treasury11",,78,Passed,"",ft.action,
"Click button(""@text='Search'"")",,116,Passed,"",ft.action,
"Think: 1.416 (sec).",,1449,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:AT1:_ATp:table1::db'"")",,564,Passed,"",ft.action,
"Info",,1,Passed,"Comments: No results found.",basic.comment,
"Finish Total (sec)",,17986,Passed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,17891,Passed,"",basic.stepGroup,
"Click element(""@className='svg-icon05'"")",,1263,Passed,"",ft.action,
"Think: 2.07 (sec).",,2163,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,109,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=FA542ABC38695A26D4CDBC0E8...",,14022,Passed,"",web.pageComplete,
"closeBrowser",,8,Passed,"",ft.action,
