120662,1,HCM_ManageDivisions_0017,6/10/2020 19:27:30 PM,0,Failed,6/10/2020 19:25:29 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3360,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,2700,Passed,"",basic.step,
"Iteration Total (sec)",,108193,Failed,"",basic.iteration,
"Info",,3,Passed,"Comments: employee_Designation --> Vice President(A), Human Capital",basic.comment,
"Info",,0,Passed,"Comments: Employee_Code--> 101447",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,28968,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,78,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D3%2Bo8nJ%2F0hvPATalxZt44rIBU0FVxJ6mxU9IxX%2BmGLqWqfgUqWDkJW8PaG1fiBXSVgn%2FS9Ewf76l4JkpRh2IqJTvfSazISGUrXyKj8qcAd4dS9IBgmkCikOuwGJUN3DYDWaisF6M%2BBfr9DrMb7HC%2Bq...",,10554,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,176,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,46,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,146,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=fyjn5lbxl_5&_afrLoop=503645433168750&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=...",,12479,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,100,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=503656820860333&_adf.ctrl-state=fyjn5lbxl_65",,4423,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,1819,Passed,"",ft.action,
"Think: 0.2 (sec).",,225,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,119,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=503656820860333&_adf.ctrl-state=fyjn5lbxl_65#",,848,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,482,Passed,"",ft.action,
"focus",69,6473,Passed,"",ft.action,
"Think: 3 (sec).",,3027,Passed,"",basic.comment,
"DoubleClick link(""@text='Manage Divisions'"")",,185,Passed,"",ft.action,
"Think: 2.641 (sec).",,2671,Passed,"",basic.comment,
"Find Object",,60840,Failed,"Find Object timeout. Detail information:{{obj.HCM_ManageDivisions_0017.ManageDivisionName}} = /web:window[@index='0' or @title='Manage Divisions - Workforce Structures - Oracle Applications']/web:document[@index='0' or @name='m7rr4ifzc']/web:form[@id='_FOf1' or @name='_FOf1' or @index='0']/web:input_text[@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:qryId1:value00::content' or @name='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:qryId1:value00'].",ft.action,
"setText",91,61165,Failed,"Find Object timeout. Detail information:{{obj.HCM_ManageDivisions_0017.ManageDivisionName}} = /web:window[@index='0' or @title='Manage Divisions - Workforce Structures - Oracle Applications']/web:document[@index='0' or @name='m7rr4ifzc']/web:form[@id='_FOf1' or @name='_FOf1' or @index='0']/web:input_text[@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:qryId1:value00::content' or @name='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:qryId1:value00'].",ft.action,
"Finish Total (sec)",,8715,Passed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,8583,Passed,"",basic.stepGroup,
"Click element(""@className='svg-icon05'"")",,1146,Passed,"",ft.action,
"Think: 2.07 (sec).",,2103,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,650,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=5D0F8CA08FBEBFAC542B96B38...",,4362,Passed,"",web.pageComplete,
"closeBrowser",,9,Passed,"",ft.action,
