117612,1,HCM_ManageJobs_ByJobName_JobCode_005,5/26/2020 23:05:36 PM,0,Failed,5/26/2020 23:03:39 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3683,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,3151,Passed,"",basic.step,
"Iteration Total (sec)",,113347,Failed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,17419,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,5,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,80,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D4cSX3u9fJLW7zRmca08wZQF1B8K3NU9LaVNa%2FDNStE7UqT95waVawx8z3hOywytVWesk9HFdtwGFE1yTwd1tkfhWNDBCCL0RRC0VSzPGVsoHmWbUpFWJXfAWR3m1myoshxFBX2G1NG0uY3tf8hyYgZDUk5lSD9j...",,7732,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,35,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,177,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,38,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,135,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=16mkpi1z5c_5&_afrLoop=7083151073855543&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,5152,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,106,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7083155300838467&_adf.ctrl-state=16mkpi1z5c_65",,2926,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.1 (sec).",,1125,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management_2'"")",5,152,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",6,184,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7083155300838467&_adf.ctrl-state=16mkpi1z5c_65#",7,652,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",28,4145,Passed,"",ft.action,
"Think: 1.1 (sec).",,1134,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:1:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",31,114,Passed,"",ft.action,
"Think: 1.1 (sec).",,1132,Passed,"",basic.comment,
"Click textBox(""@id='pt1:_FOr1:1:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"")",9,2633,Passed,"",ft.action,
"SetText textBox(""@id='pt1:_FOr1:1:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"") Manager",10,69,Passed,"",ft.action,
"PressTab textBox(""@id='pt1:_FOr1:1:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"")",11,144,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value10::content'"") 0012",12,59,Passed,"",ft.action,
"Click button(""@text='Search'"")",,142,Passed,"",ft.action,
"Think: 2.4 (sec).",,2433,Passed,"",basic.comment,
"Click link(""@id='pt1:_FOr1:1:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:AT1:_ATp:t1:0:commandLink1'"")",,19660,Passed,"",ft.action,
"Find Object",,60136,Failed,"Find Object timeout. Detail information:{{obj.HCM_ManageJobs_ByJobName_JobCode_005.Job Descrpton Manager_Name}} = /web:window[@index='0' or @title='Manage Jobs - Workforce Structures - Oracle Applications']/web:document[@index='0' or @name='zcd753tdb']/web:span[@id='pt1:_FOr1:1:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:jobUpdatePnl:inputText3::content'].",ft.action,
"Finish Total (sec)",,65,Passed,"",basic.finish,
