64190,1,HCM_ManageJobs_ByJobName_JobCode_005,5/26/2020 23:41:42 PM,0,Failed,5/26/2020 23:40:37 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3706,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,3221,Passed,"",basic.step,
"Iteration Total (sec)",,59607,Failed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,16649,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,4,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,125,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DP1ZjHHXT5%2FCgr2eDRN2oDYeOlkwEMxKcpSQnqK1iV6IrhUy511h94a82faGQt2LvefBX1l9ichSRZwGGJmBbSjSIMtmVn1qaB0e7O9FVIFkY5b211B3sDKYXsgypAy0S9Tq4gUvhRDOf3vFOjxVj8UpF6zaEnn0...",,6972,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,42,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,168,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,41,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,130,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=17ye2psj9t_5&_afrLoop=7085384393762788&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,5223,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,128,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7085389004792474&_adf.ctrl-state=17ye2psj9t_65",,2793,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.1 (sec).",,1121,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management_2'"")",5,133,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",6,188,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7085389004792474&_adf.ctrl-state=17ye2psj9t_65#",7,703,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",28,3233,Passed,"",ft.action,
"Think: 1.1 (sec).",,1133,Passed,"",basic.comment,
"focus",,80,Passed,"",ft.action,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:1:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,180,Passed,"",ft.action,
"Think: 1.1 (sec).",,1121,Passed,"",basic.comment,
"Failed to playback",,33908,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,407,Failed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,57,Failed,"",basic.stepGroup,
"Failed to playback",,8,Failed,"Failed to playback: No browser launched.",ft.action,
