46837,1,HCM_Manage_InvalidDivisions_0018,6/11/2020 18:53:19 PM,0,Passed,6/11/2020 18:52:31 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3181,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,2666,Passed,"",basic.step,
"Iteration Total (sec)",,36296,Passed,"",basic.iteration,
"Info",,2,Passed,"Comments: Division Name is  --> Aluminium1",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,18557,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,1,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,64,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DaPmdCp%2F%2Fy%2FBEetq4Ehop1e9JlUIPXq%2FvPWDJ9tsB78lcZmCex%2F%2B%2FDiENaPgrDFMl0G9MFSa6YSGB4qSEiYwNQ%2BAo1I4G9tM3bYr%2BjUcCY5VCOyMuPWzL6cKWpkM68SIK4L8WdZVK7sYUz1n...",,7786,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,166,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,42,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,133,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=4h6enakbn_5&_afrLoop=588078894488850&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=...",,6025,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,92,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=588084124252606&_adf.ctrl-state=4h6enakbn_65",,3434,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,383,Passed,"",ft.action,
"Think: 0.2 (sec).",,238,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,108,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=588084124252606&_adf.ctrl-state=4h6enakbn_65#",,723,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,206,Passed,"",ft.action,
"focus",69,3326,Passed,"",ft.action,
"Think: 5 (sec).",,5017,Passed,"",basic.comment,
"focus",,109,Passed,"",ft.action,
"DoubleClick link(""@text='Manage Divisions'"")",,191,Passed,"",ft.action,
"Think: 2.641 (sec).",,2669,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:qryId1:value00::content'"") Aluminium1",91,76,Passed,"",ft.action,
"Click button(""@text='Search'"")",,117,Passed,"",ft.action,
"Think: 1.674 (sec).",,1711,Passed,"",basic.comment,
"focus",,662,Passed,"",ft.action,
"Info",,0,Passed,"Comments: No results found.",basic.comment,
"Finish Total (sec)",,6960,Passed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,6871,Passed,"",basic.stepGroup,
"Click element(""@className='svg-icon05'"")",,804,Passed,"",ft.action,
"Think: 2.07 (sec).",,2108,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,107,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=9BBA84CD88FAC207E12F05C95...",,3569,Passed,"",web.pageComplete,
"closeBrowser",,6,Passed,"",ft.action,
