30907,1,HCM_PersonalManagement_0019,6/15/2020 18:41:27 PM,0,Passed,6/15/2020 18:40:55 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3671,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,3036,Passed,"",basic.step,
"Iteration Total (sec)",,19259,Passed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,19020,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,1,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,67,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DcWwNkno%2Bm1K2qi8uM8Cq%2Bo6FCb29ep%2BpL%2Bfwkl1QbkdnFY9kUY4mLAnKEpC6mnz%2FhRn%2BclZOUxW67ODJl1Qu0cy7pMR5lpBr09UwOiLuiYfBHAY0fD%2Fu4KK1o%2Ba1UEVkGCA0aqWUcEhVZqa8V...",,7676,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,8,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,166,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,34,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,120,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=y6d5bizpw_5&_afrLoop=932982779068440&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=...",,6170,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,105,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=932988330296607&_adf.ctrl-state=y6d5bizpw_65",,3794,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,7592,Passed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,7459,Passed,"",basic.stepGroup,
"Click element(""@className='svg-icon05'"")",,1049,Passed,"",ft.action,
"Think: 2.07 (sec).",,2106,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,109,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=39162957ACFECB1508D463DB0...",,3890,Passed,"",web.pageComplete,
"closeBrowser",,8,Passed,"",ft.action,
