61619,1,HCM_PersonalManagement_MandatoryField_0021,6/17/2020 16:56:02 PM,0,Failed,6/17/2020 16:55:00 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4120,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,3530,Passed,"",basic.step,
"Iteration Total (sec)",,56943,Failed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,23673,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,103,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DKQdBy3kELJqqwSlF6J5VjyQab9Fe00DCFKipVfB%2FpU1rXTHOm17OYv02kr3nZWXVN0hkC0xLp2PREvD%2BsRvGOFUCZyfGq2DCluJAqtGIzGmT6KNiCkP0FqNjz1%2BStVLZWR1SPBAOhrwwW8CQBJBhOk51ddF...",,8521,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,12,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,185,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,39,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,114,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=16l6ckry0d_5&_afrLoop=1099429299326698&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,9558,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,149,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1099438378377624&_adf.ctrl-state=16l6ckry0d_65",,3910,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: person_Number--> 20389",basic.comment,
"Info",,0,Passed,"Comments: National Id--> 1019507324",basic.comment,
"Click link(""@text='My Client Groups'"")",,119,Passed,"",ft.action,
"Click link(""@text='Person Management'"")",,214,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1099438378377624&_adf.ctrl-state=16l6ckry0d_65#",6,975,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_person_management:0:MAt1:0:pt1:Perso1:0:SP3:q1:value10::content'"") 20389",,4437,Passed,"",ft.action,
"Think: 2.869 (sec).",,2891,Passed,"",basic.comment,
"DoubleClick button(""@text='Search'"")",,1563,Passed,"",ft.action,
"Think: 2.869 (sec).",,2919,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_person_management:0:MAt1:0:pt1:Perso1:0:SP3:table1:_ATp:table2:0:ot11'"")",,1078,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=1099429902631438&_afrWindowMode=0&_afrWindowId=196hofi46t&_a...",6,1477,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,0,Passed,"Comments: Hamoud Jassar Al-Hajri",basic.comment,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2020-06-17&_afrLoop=1099447872870379&pAssignmentId=300000006732739&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId=10000000695994...",17,8524,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 5.578 (sec).",,5595,Passed,"",basic.comment,
"focus",,236,Passed,"",ft.action,
"Info",,0,Passed,"Comments: After search the Name displayed is : Hamoud Jassar Al-Hajri: Person Management",basic.comment,
"Failure",,1,Failed,"Test fail as validation fail for Name field.",basic.comment,
"Finish Total (sec)",,38,Passed,"",basic.finish,
