109377,1,HCM_Search_ManagePosition_ByEmployee_Code_002,5/19/2020 18:04:28 PM,0,Failed,5/19/2020 18:02:39 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3320,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,2805,Passed,"",basic.step,
"Iteration Total (sec)",,105782,Failed,"",basic.iteration,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByEmployee_Code_002",,3,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,90,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DtXbCo2KTlB3h7UsDDnmxZEo4IVC4PxhOThtwiVTYzjSGiKy%2BKzUv90qIs0NM2FmTHLB287WlC3oknpOWfZUvx7Wpot8bcsb6xZm6fpkxzmtxvS6c6qvAf56o9AQF9liozZykHCTUC7s5xxn%2B4YYkQSSCXnKeR...",,6369,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,238,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,41,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,128,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=1vx40tetx_5&_afrLoop=6460303729533440&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,8175,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,92,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6460311348294813&_adf.ctrl-state=1vx40tetx_65",,3337,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,796,Passed,"",ft.action,
"Think: 0.2 (sec).",,233,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,107,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6460311348294813&_adf.ctrl-state=1vx40tetx_65#",,656,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,544,Passed,"",ft.action,
"Think: 6 (sec).",,6021,Passed,"",basic.comment,
"focus",,6462,Passed,"",ft.action,
"Think: 0.1 (sec).",,121,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,196,Passed,"",ft.action,
"Think: 6 (sec).",,6024,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:q1:value10::content'"") 101447",,64,Passed,"Data Used:101447",ft.action,
"Click button(""@text='Search'"")",,130,Passed,"",ft.action,
"Think: 3 (sec).",,3031,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:AT1:_ATp:t1:0:cl1'"")",,264,Passed,"",ft.action,
"Find Object",,60295,Failed,"Find Object timeout. Detail information:{{obj.HCM_Search_ManagePosition_ByEmployee_Code_002.Empployee_Id}} = /web:window[@index='0' or @title='Manage Positions - Workforce Structures - Oracle Applications']/web:document[@index='0' or @name='7jytz62u0']/web:span[@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:posCode::content'].",ft.action,
"Finish Total (sec)",,42,Passed,"",basic.finish,
