85941,1,HCM_Search_ManagePosition_ByInvalidName_InvalidEmployeeCode_004,5/24/2020 16:20:30 PM,0,Passed,5/24/2020 16:19:03 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3976,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,3357,Passed,"",basic.step,
"Iteration Total (sec)",,73917,Passed,"",basic.iteration,
"Info",,3,Passed,"Comments: employee_Designation --> Vice President(A), Human Capital",basic.comment,
"Info",,0,Passed,"Comments: Employee_Code--> 101448",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,24277,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,3,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,101,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DMtl6afVpMFYKV7VOP7%2B3tltCMMv%2FUy6o0mkCD13uZKh2mTrMzNUUrKKuRo8umAYkUE9xjjN0nb9NHrP5djlWZs3x4PppsGK%2F4i%2FbtXvjD1iYlsuP%2FOlY2iftozk%2BdBSuHQxxtgu0BfUKu9Z1N0ao1...",,9393,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,8,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,194,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,43,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,121,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=rmtgo2ich_5&_afrLoop=6886077833191693&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,8947,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,114,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6886086202945517&_adf.ctrl-state=rmtgo2ich_65",,4206,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,3998,Passed,"",ft.action,
"Think: 3.2 (sec).",,3234,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,290,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6886086202945517&_adf.ctrl-state=rmtgo2ich_65#",,708,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,366,Passed,"",ft.action,
"Think: 6 (sec).",,6033,Passed,"",basic.comment,
"focus",,123,Passed,"",ft.action,
"Think: 0.1 (sec).",,135,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,155,Passed,"",ft.action,
"Think: 6 (sec).",,6040,Passed,"",basic.comment,
"Click textBox(""@name='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:q1:value00'"")",,21454,Passed,"",ft.action,
"SetText textBox(""@name='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:q1:value00'"") Vice President(A), Human Capital",,94,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:q1:value10::content'"") 101448",,93,Passed,"",ft.action,
"Click button(""@text='Search'"")",,154,Passed,"",ft.action,
"Think: 3 (sec).",,3037,Passed,"",basic.comment,
"focus",,179,Passed,"",ft.action,
"Info",,0,Passed,"Comments: No results found.",basic.comment,
"Think: 0.118 (sec).",,145,Passed,"",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=6886115131411102&_afrWindowMode=0&_afrWindowId=11b4ynkfbi...",,462,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,0,Passed,"Comments: The Test case pass, as it is one negative scenario. It returns No results found...",basic.comment,
"Finish Total (sec)",,7557,Passed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,7468,Passed,"",basic.stepGroup,
"Click element(""@className='svg-icon05'"")",,804,Passed,"",ft.action,
"Think: 2.07 (sec).",,2103,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,132,Passed,"",ft.action,
