57812,1,HCM_Search_ManagePosition_ByName_EmployeeCode_003,6/21/2020 21:47:20 PM,0,Passed,6/21/2020 21:46:21 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3253,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2700,Passed,"",basic.step,
"Iteration Total (sec)",,53996,Passed,"",basic.iteration,
"Info",,3,Passed,"Comments: employee_Designation --> Vice President(A), Human Capital",basic.comment,
"Info",,0,Passed,"Comments: Employee_Code--> 101447",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,21757,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,92,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DphmQDCp6py%2Bp%2FVBUxnUaHdsFlO3bCwqbEHMwhNnyjUVWzBgn0cJFGApH%2FxEu9ESf%2F4J3Kwg0kng4Hvjo01OZ3vzjVUF3siS21EiLZInTIUf0KmkJTw3l%2FZ4EEqxl2xTUjT7hkHc0PKT4k5vr%2FlIh2...",,8677,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,207,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,35,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,135,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=168xih658g_5&_afrLoop=1462496854361620&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,7624,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,94,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1462503689469044&_adf.ctrl-state=168xih658g_65",,3993,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,180,Passed,"",ft.action,
"Think: 3.2 (sec).",,3223,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,116,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1462503689469044&_adf.ctrl-state=168xih658g_65#",,712,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,74,Passed,"",ft.action,
"Think: 6 (sec).",,6018,Passed,"",basic.comment,
"focus",,86,Passed,"",ft.action,
"Think: 0.1 (sec).",,122,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,185,Passed,"",ft.action,
"Think: 10 (sec).",,10025,Passed,"",basic.comment,
"Click textBox(""@name='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:q1:value00'"")",,153,Passed,"",ft.action,
"SetText textBox(""@name='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:q1:value00'"") Vice President(A), Human Capital",,78,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:q1:value10::content'"") 101447",,73,Passed,"",ft.action,
"Click button(""@text='Search'"")",,144,Passed,"",ft.action,
"Think: 3 (sec).",,3034,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:AT1:_ATp:t1:0:cl1'"")",,184,Passed,"",ft.action,
"focus",,2674,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Employee code  : 101447",basic.comment,
"Info",,0,Passed,"Comments: TC Pass as both code matched ",basic.comment,
"focus",,83,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Employee Hirings Status : Approved",basic.comment,
"focus",,155,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Position : Vice President(A), Human Capital",basic.comment,
"focus",,81,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Dept : Learning & Development Partnerships",basic.comment,
"focus",,87,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Job: Vice President",basic.comment,
"Click element(""@text='o'"")",,361,Passed,"",ft.action,
"Think: 1.451 (sec).",,1485,Passed,"",basic.comment,
"Finish Total (sec)",,100,Passed,"",basic.finish,
"closeBrowser",,7,Passed,"",ft.action,
