206394,1,HCM_Search_WF_ManagePosition_001,5/20/2020 16:15:07 PM,0,Failed,5/20/2020 16:11:39 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,37511,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,31042,Passed,"",basic.step,
"Iteration Total (sec)",,148238,Failed,"",basic.iteration,
"GetNextDatabankRecord: HCM_Search_WF_ManagePosition_ByName_001",,3,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, Vice President]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,3983,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DGubbcAeDshFHQF%2B4Fcxd3IwX8FjaSfKwKhwSSBUQkBYEgULm11HSEIK6QVU6xK0%2BNjUKK2nR86qmRqFu%2BhTBaoUbjg5FhKmM8enV9fKV2DvI4Zyk5bZNDN1IpCEFFR4KZqRvKHZV0m8OAFcpjCZib%2FAcb...",,21864,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,426,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,273,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,641,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=12j7gq0gd6_5&_afrLoop=6540106742068716&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,15339,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,296,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6540116812096108&_adf.ctrl-state=12j7gq0gd6_65",,9032,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,1081,Passed,"",ft.action,
"Click link(""@text='Workforce Structures'"")",,361,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6540116812096108&_adf.ctrl-state=12j7gq0gd6_65#",,1829,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,7584,Passed,"",ft.action,
"Think: 2 (sec).",,2036,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,267,Passed,"",ft.action,
"SetText textBox(""@name='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:q1:value00'"") Vice President",,98,Passed,"Data Used:Vice President",ft.action,
"Click button(""@text='Search'"")",,190,Passed,"",ft.action,
"Think: 3 (sec).",,3039,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:AT1:_ATp:t1:0:cl1'"")",,488,Passed,"",ft.action,
"Find Object",,61626,Failed,"Find Object timeout. Detail information:{{obj.HCM_Search_WF_ManagePosition_ByName_001.Empployee_Id}} = /web:window[@index='0' or @title='Manage Positions - Workforce Structures - Oracle Applications']/web:document[@index='0' or @name='178y037fkn']/web:span[@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:posCode::content'].",ft.action,
"Finish Total (sec)",,20136,Passed,"",basic.finish,
"Click element(""@className='svg-icon05'"")",,3103,Passed,"",ft.action,
"Think: 2.07 (sec).",,2108,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,2992,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=FA2F14E3ABA81FA69F0514BA8...",,11456,Passed,"",web.pageComplete,
"closeBrowser",,17,Passed,"",ft.action,
