98081,1,HCM_AbsenceReason_0022,6/22/2020 20:38:59 PM,0,Failed,6/22/2020 20:37:20 PM,basic.step,Sprint 2,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3759,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,3010,Passed,"",basic.step,
"Iteration Total (sec)",,93772,Failed,"Failed to get a response after sending the message: <Message name=""GetChildren""><Parameter tag=""window""></Parameter><RequiredAttribute name=""index"" logic=""OR"" value=""0"" operator=""EQUALS""></RequiredAttribute><RequiredAttribute name=""title"" logic="""" value=""Absence Reasons - Absences - Oracle Applications"" operator=""EQUALS""></RequiredAttribute></Message>.",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,28354,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,92,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DOpoY%2FsFoiVgrtzqTJEDgjKmgz14ATUjHpSzyVH8ahZSZk6qykPX%2BhqeMxgviJhR%2FkuICOMXck%2FR%2FC2K1QwEC493%2B3Nz8%2B1e6ab1PqBYOyArMMPZPzqth%2B23g54CzJawwOl0fwLe4495FEfi8C...",,9550,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,8,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,238,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,59,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,127,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=linnq7ljv_5&_afrLoop=1544770241028651&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,12759,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,99,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1544782098204909&_adf.ctrl-state=linnq7ljv_65",,4337,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Call Function: MyClientGroups_Absences.run",,2696,Passed,"",basic.stepGroup,
"Click link(""@text='My Client Groups'"")",,1346,Passed,"",ft.action,
"Click link(""@text='Absences'"")",,316,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1544782098204909&_adf.ctrl-state=linnq7ljv_65#",,765,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: AbsenceReasons_Name --> Brother",basic.comment,
"focus",,4213,Passed,"",ft.action,
"Think: 2.714 (sec).",,2777,Passed,"",basic.comment,
"DoubleClick link(""@text='Absence Reasons'"")",,97,Passed,"",ft.action,
"Think: 2.714 (sec).",,2745,Passed,"",basic.comment,
"Finish Total (sec)",,71,Passed,"",basic.finish,
