109669,1,HCM_AbsenceType_0028,7/05/2020 00:27:00 AM,0,Failed,7/05/2020 00:25:10 AM,basic.step,Sprint 2,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3151,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2560,Passed,"",basic.step,
"Iteration Total (sec)",,106000,Failed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,22839,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,82,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dz4aC7O9j9ICqdxFyyrQL2VNey6e61rv5Rui8uImo57wvwKp1zeMfp9XZCzh%2BXjcmO5YqDX4DKEhCYdukfcjFfTb%2BgoFc6S7wfuuQFX92wjVmJtu5sd2WMyYDK9s6QLYngqrj6Bz%2BEvaNWvfEMz%2B2DYLZr...",,9534,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,9,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,196,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,41,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,122,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=670qbq2l2_5&_afrLoop=2595224206992792&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,7477,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,116,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2595230405549404&_adf.ctrl-state=670qbq2l2_77",,4023,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Call Function: MyClientGroups_Absences.run",,1507,Passed,"",basic.stepGroup,
"Click link(""@text='My Client Groups'"")",,172,Passed,"",ft.action,
"Click link(""@text='Absences'"")",,283,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2595230405549404&_adf.ctrl-state=670qbq2l2_77#",,766,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: The input Absence Plan Name captured from excel data sheet is : Accompany Sick Leave",basic.comment,
"focus",,4661,Passed,"",ft.action,
"Think: 1.988 (sec).",,2032,Passed,"",basic.comment,
"focus",,66,Passed,"",ft.action,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_absence_administration:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:1:ll02Pce:ll01Lv:3:ll01Pse:ll01Cl'"")",,175,Passed,"",ft.action,
"Think: 4.098 (sec).",,4125,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_absence_administration:0:MAnt2:1:AP1:qryId1:value00::content'"")",,250,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_absence_administration:0:MAnt2:1:AP1:qryId1:value00::content'"") Accompany Sick Leave",,63,Passed,"",ft.action,
"Think: 2.825 (sec).",,2849,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_absence_administration:0:MAnt2:1:AP1:qryId1::search'"")",,221,Passed,"",ft.action,
"Think: 1.082 (sec).",,1113,Passed,"",basic.comment,
"Click element(""@text=' '"")",21,547,Passed,"",ft.action,
"PressTab element(""@text=' '"")",21,150,Passed,"",ft.action,
"DoubleClick element(""@text='Appearance Leave'"")",9,343,Passed,"",ft.action,
"Think: 1.622 (sec).",,1651,Passed,"",basic.comment,
"focus",11,157,Passed,"",ft.action,
"Find Object",,60595,Failed,"Find Object timeout. Detail information:{{obj.HCM_AbsenceType_0028.web_span_Illness_or_injury}} = /web:window[@index='0' or @title='Absence Types - Absences - Oracle Applications']/web:document[@index='0' or @name='f8imz8lsi']/web:span[@text='Illness or injury'].",ft.action,
"Finish Total (sec)",,51,Passed,"",basic.finish,
