66583,1,HCM_Invalid_AbsencePlan_0027,6/30/2020 17:03:40 PM,0,Passed,6/30/2020 17:02:34 PM,basic.step,Sprint 2,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4071,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,3477,Passed,"",basic.step,
"Iteration Total (sec)",,61980,Passed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,33490,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,3,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,124,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DKvu84o8%2Bi5wnQpsd460mYGYpHV7UfKteu2K6kMVsLOZ7TOkwKratgBApDN3J1eaeOT2jhX%2FtUBEJm05xd%2F54FsqnUTJ0Wa%2Flyg%2FxPzoewdqIsLEYTuv567AelBWKlFJB6fj%2BEDABPq2lBbAQDe%2B...",,13963,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,11,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,287,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,39,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,146,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=1c08pkmyw1_5&_afrLoop=2223087484756342&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,12999,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,110,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2223099906455280&_adf.ctrl-state=1c08pkmyw1_65",,4697,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Call Function: MyClientGroups_Absences.run",,2470,Passed,"",basic.stepGroup,
"Click link(""@text='My Client Groups'"")",,1120,Passed,"",ft.action,
"Click link(""@text='Absences'"")",,337,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2223099906455280&_adf.ctrl-state=1c08pkmyw1_65#",,745,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: The input Absence Plan Name captured from excel data sheet is : Invalid value",basic.comment,
"Think: 2.063 (sec).",,2118,Passed,"",basic.comment,
"focus",,2533,Passed,"",ft.action,
"focus",5,6162,Passed,"",ft.action,
"focus",,200,Passed,"",ft.action,
"DoubleClick link(""@text='Absence Plans'"")",,225,Passed,"",ft.action,
"Think: 5.063 (sec).",,5096,Passed,"",basic.comment,
"focus",,137,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_absence_administration:0:MAnt2:1:AP1:qryId1:value00::content'"") Invalid value",,99,Passed,"",ft.action,
"Click button(""@text='Search'"")",,162,Passed,"",ft.action,
"Think: 1.686 (sec).",,1713,Passed,"",basic.comment,
"focus",,162,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_absence_administration&_afrLoop=2223106492925155&_afrWindowMode=0&_afrWindowId=qwo3t87n...",22,565,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,0,Passed,"Comments: Actual message returned : No data to display.",basic.comment,
"Info",,1,Passed,"Comments: The Test Case pass as expected results and actual results are matched..",basic.comment,
"Think: 4.318 (sec).",,4343,Passed,"",basic.comment,
"Finish Total (sec)",,44,Passed,"",basic.finish,
