348770,1,Inv_Availbility_Quantity_For_Miscellaneous_Issue_00141,5/16/2020 17:48:53 PM,0,Passed,5/16/2020 17:42:53 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,22459,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,20852,Passed,"",basic.step,
"Iteration Total (sec)",,325170,Passed,"",basic.iteration,
"GetNextDatabankRecord: Inv_Availbility_Quantity_For_Miscellaneous_Issue_00141",,8,Passed,"Data Used:[http://riysoaclone.maaden.com:8010/, PEETHAMBARANS, welcome123, STD%JUB, MS0031]",basic.resource,
"Navigate http://riysoaclone.maaden.com:8010/",,250,Passed,"Data Used:http://riysoaclone.maaden.com:8010/",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/",,2174,Passed,"",web.pageComplete,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,8193,Passed,"Data Used:PEETHAMBARANS",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,158,Passed,"Data Used:welcome123",ft.action,
"Click button(""@id='SubmitButton'"")",,414,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,6253,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='CORP INVENTORY'"")",,474,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,1561,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='On-hand, Availability'"")",,2051,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,1519,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='On-hand Quantity'"")",,490,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETIM...",,40736,Passed,"",web.pageComplete,
"Forms Screen shot",120,3955,Passed,"",ft.screenshot,
"Select listOfValues(""forms:listOfValues"") MRK|MRK: CORP ALU-SBU Inventory Organization",,24156,Passed,"",ft.action,
"Forms Screen shot",123,1063,Passed,"",ft.screenshot,
"SetFocus textField(""@name='MATERIAL_QF_QUERY_NAME_0'"")",,14051,Passed,"",ft.action,
"SetText textField(""@name='MATERIAL_QF_SUBINVENTORY_CODE_0'"") STD%JUB",,1004,Passed,"Data Used:STD%JUB",ft.action,
"InvokeSoftKey textField(""@name='MATERIAL_QF_SUBINVENTORY_CODE_0'"")",,1486,Passed,"",ft.action,
"SetText textField(""@name='MATERIAL_QF_ITEM_0'"") MS0031",,943,Passed,"Data Used:MS0031",ft.action,
"Click button(""@name='MATERIAL_QF_FIND_0'"")",,5416,Passed,"",ft.action,
"Forms Screen shot",130,763,Passed,"",ft.screenshot,
"FocusRow spreadTable(""@name='RESULTS_GRID_0'"") 1",,6120,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,452,Passed,"",ft.action,
"SetFocus tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"")",,981,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,732,Passed,"",ft.action,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations",,3539,Passed,"",ft.action,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations",,5817,Passed,"",ft.action,
"ActivateNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations",,9206,Passed,"",ft.action,
"ExpandeNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations",,969,Passed,"",ft.action,
"Think: 4.283 (sec).",,4343,Passed,"",basic.comment,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK",,3166,Passed,"",ft.action,
"FocusRow spreadTable(""@name='RESULTS_GRID_0'"") 1",,5839,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,339,Passed,"",ft.action,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK",,3035,Passed,"",ft.action,
"ActivateNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK",,8658,Passed,"",ft.action,
"ExpandeNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK",,2121,Passed,"",ft.action,
"Think: 4.283 (sec).",,4331,Passed,"",basic.comment,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,2921,Passed,"",ft.action,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand",,3644,Passed,"",ft.action,
"FocusRow spreadTable(""@name='RESULTS_GRID_0'"") 1",,5182,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,199,Passed,"",ft.action,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand",,3146,Passed,"",ft.action,
"ActivateNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand",,8341,Passed,"",ft.action,
"ExpandeNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand",,1076,Passed,"",ft.action,
"Think: 8.937 (sec).",,9005,Passed,"",basic.comment,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,2687,Passed,"",ft.action,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand|STD-M-JUB",,4232,Passed,"",ft.action,
"FocusRow spreadTable(""@name='RESULTS_GRID_0'"") 1",,5682,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,218,Passed,"",ft.action,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand|STD-M-JUB",,3491,Passed,"",ft.action,
"ActivateNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand|STD-M-JUB",,11189,Passed,"",ft.action,
"ExpandeNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand|STD-M-JUB",,1277,Passed,"",ft.action,
"Think: 4.283 (sec).",,4372,Passed,"",basic.comment,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,2778,Passed,"",ft.action,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand|STD-M-JUB|M.SJ.B125",,7602,Passed,"",ft.action,
"FocusRow spreadTable(""@name='RESULTS_GRID_0'"") 1",,6396,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,198,Passed,"",ft.action,
"ExpandeNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand|STD-M-JUB|M.SJ.B125",,1651,Passed,"",ft.action,
"Think: 4.167 (sec).",,4224,Passed,"",basic.comment,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,2038,Passed,"",ft.action,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations|MRK|On-hand|STD-M-JUB|M.SJ.B125|MS0031",,4081,Passed,"",ft.action,
"FocusRow spreadTable(""@name='RESULTS_GRID_0'"") 1",,6338,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,300,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,182,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,166,Passed,"",ft.action,
"DoubleClick spreadTable(""@name='RESULTS_GRID_0'"") 1, 4",,1050,Passed,"",ft.action,
"FocusCell spreadTable(""@name='RESULTS_GRID_0'"") 1, 4",,201,Passed,"",ft.action,
"Info",,2,Passed,"Comments: Item ->  MS0031",basic.comment,
"DoubleClick spreadTable(""@name='RESULTS_GRID_0'"") 1, 2",,944,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Sub Inventory ->  STD-M-JUB",basic.comment,
"DoubleClick spreadTable(""@name='RESULTS_GRID_0'"") 1, 3",,1062,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Locator ->  M.SJ.B125",basic.comment,
"DoubleClick spreadTable(""@name='RESULTS_GRID_0'"") 1, 8",,1019,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Availablity Quantity ->  1.028",basic.comment,
"setPosition(1)",,26,Passed,"",basic.stepGroup,
"setPosition(3)",,19,Passed,"",basic.stepGroup,
"setPosition(5)",,20,Passed,"",basic.stepGroup,
"DoubleClick spreadTable(""@name='RESULTS_GRID_0'"") 1, 20",,1400,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Lot ->  K20S1897A-006",basic.comment,
"Close window(""@name='APPTREE'"")",,2292,Passed,"",ft.action,
"Click link(""@text='Logout'"")",,1727,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=EaXwe3MWrvyHl-xHBpPF.nlLm.fqEetiXb..Gw2b7E.-xmP6THITLTsxaECfZQ7B&oas=bzEZ_z-2VumkrsfTe1aaOA..",,5291,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"closeBrowser",,39,Passed,"",ft.action,
"Forms Close",250,1836,Passed,"",ft.action,
"closeBrowser",,34,Passed,"",ft.action,
"Finish Total (sec)",,377,Passed,"",basic.finish,
