230176,1,Inv_Create_Miscellaneous_Issue_Transactions_00142,5/16/2020 20:20:33 PM,0,Failed,5/16/2020 20:16:42 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8075,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,7453,Passed,"",basic.step,
"Iteration Total (sec)",,221808,Failed,"Failed in finding component with path='/applet:TJavaWindow[@text='Material Transactions (MRK)']/applet:TJavaToolbar[@posIndex='0']', 
 no matching children of pathSegment='/applet:TJavaWindow[@text='Material Transactions (MRK)']'.",basic.iteration,
"Navigate http://riysoaclone.maaden.com:8010/",127,91,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/",129,2124,Passed,"",web.pageComplete,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,7258,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,462,Passed,"",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",,202,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,6107,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='CORP INVENTORY'"")",,129,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,725,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Transactions'"")",,3198,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,681,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Miscellaneous Transaction'"")",,143,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETIM...",,39960,Passed,"",web.pageComplete,
"Activate window(""@name='NAVIGATOR'"")",,23971,Passed,"",ft.action,
"Forms Screen shot",158,433,Passed,"",ft.screenshot,
"Select listOfValues(""forms:listOfValues"") MRK|MRK: CORP ALU-SBU Inventory Organization",,14357,Passed,"",ft.action,
"Forms Screen shot",161,292,Passed,"",ft.screenshot,
"Think: 4.824 (sec).",,4846,Passed,"",basic.comment,
"SetText textField(""@name='MISC_TRX_TRANSACTION_TYPE_0'"") Miscellaneous Issue",,1165,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='MISC_TRX_TRANSACTION_TYPE_0'"")",,570,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='MISC_TRX_TRANSACTION_SOURCE_0'"")",,1199,Passed,"",ft.action,
"SetText textField(""@name='MISC_TRX_DIST_ACCT_0'"") 01.01.100.30.0000.1265.00000",,36,Passed,"",ft.action,
"Click button(""@name='MISC_TRX_TRX_LINE_BUTTON_0'"")",,5261,Passed,"",ft.action,
"Forms Screen shot",168,302,Passed,"",ft.screenshot,
"Think: 2.24 (sec).",,2263,Passed,"",basic.comment,
"SetText textField(""@name='MTL_TRX_LINE_ITEM_0'"") MS0031",,50,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='MTL_TRX_LINE_ITEM_0'"")",,2293,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_SUBINVENTORY_CODE_0'"") STD-M-JUB",,43,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='MTL_TRX_LINE_SUBINVENTORY_CODE_0'"")",,1083,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_LOCATOR_0'"") M.SJ.B125",,42,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='MTL_TRX_LINE_LOCATOR_0'"")",,1416,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_LOT_NUMBER_0'"") K20S1897A-006",,40,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='MTL_TRX_LINE_LOT_NUMBER_0'"")",,3034,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_TRANSACTION_QUANTITY_0'"") .01",,1219,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_TRANSACTION_COST_DISPLAY_0'"") 6000",,2788,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_TRANSACTION_REFERENCE_0'"") Free Text",,1224,Passed,"",ft.action,
"ClickToolbarButton window(""@name='MTL_TRX_LINE'"") Save",,5930,Passed,"",ft.action,
"Forms Screen shot",184,267,Passed,"",ft.screenshot,
"Think: 2.749 (sec).",,2763,Passed,"",basic.comment,
