55590,1,PO_Approver_User_ABUHETLAHD,8/25/2019 19:44:05 PM,0,Failed,8/25/2019 19:43:07 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,10094,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,9504,Passed,"",basic.step,
"Iteration Total (sec)",,45095,Failed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",2,90,Passed,"",ft.action,
"Think: 0.443 (sec).",,492,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",4,9,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",5,1783,Passed,"",web.pageComplete,
"Think: 10 (sec).",,10037,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",8,330,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") ABUHETLAHD",9,56,Passed,"",ft.action,
"PressTab textBox(""@id='unamebean'"")",10,118,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",11,458,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",12,132,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",13,7363,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.699 (sec).",,2727,Passed,"",basic.comment,
"Click link(""@text='Purchase Requisition 711802669 for Peethambaran, Shaji (4,250.00 SAR)'"")",16,165,Passed,"",ft.action,
"WaitForPage",17,19142,Failed,"Failed to get a response after sending the message: <Message name=""PageComplete""><Parameter WindowIndex=""0""></Parameter><Parameter PassIfPageAlreadyComplete=""false""></Parameter></Message>.",ft.action,
"Finish Total (sec)",,103,Passed,"",basic.finish,
