60695,1,PO_Approver_User_ANAZIDH,8/25/2019 19:39:23 PM,0,Passed,8/25/2019 19:38:21 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,9610,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,9157,Passed,"",basic.step,
"Iteration Total (sec)",,50806,Passed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",2,80,Passed,"",ft.action,
"Think: 0.359 (sec).",,389,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",4,9,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",5,1131,Passed,"",web.pageComplete,
"Think: 10 (sec).",,10046,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",8,366,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") ANAZIDH",9,49,Passed,"",ft.action,
"Click textBox(""@id='pwdbean'"")",10,118,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",11,466,Passed,"",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",12,107,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",13,9214,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.673 (sec).",,1698,Passed,"",basic.comment,
"Click link(""@text='Purchase Requisition 711802669 for Peethambaran, Shaji (4,250.00 SAR)'"")",16,212,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=FND_WFNTF_DETAILS&NtfId=7362467&addBreadCrumb=Y&retainAM=Y&_ti=1503586458&oapc=5&oas=Emz7hlPN26tkNQvDOu6KoQ..",17,9471,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 0.194 (sec).",,236,Passed,"",basic.comment,
"Click button(""@value='Approve'"")",20,136,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/NewHomePG&homePage=Y&_ti=1503586458&retainAM=Y&addBreadCrumb=N&OAMC=G&WFEBizWorklist=Y&oapc=7&oas=3fwChKfl1Ad4NlNbi8IxcQ..",21,15073,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,53,Passed,"",basic.finish,
