69371,1,PO_BlanketCreationAndApproval_005,8/19/2019 11:30:44 AM,0,Failed,8/19/2019 11:29:33 AM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,9641,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,9091,Passed,"",basic.step,
"Iteration Total (sec)",,59370,Failed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",3,76,Passed,"",ft.action,
"Think: 0.047 (sec).",,100,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",5,293,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",6,1163,Passed,"",web.pageComplete,
"Think: 5.521 (sec).",,5557,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",9,7349,Passed,"",ft.action,
"Think: 0.755 (sec).",,785,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",10,79,Passed,"",ft.action,
"Think: 1.132 (sec).",,1182,Passed,"",basic.comment,
"PressTab textBox(""@id='unamebean'"")",11,109,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",12,774,Passed,"",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",13,67,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",14,8312,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING SUPERUSER'"")",17,153,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",18,745,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='menuLayout_div'"")",21,603,Passed,"",ft.action,
"Think: 2.135 (sec).",,2157,Passed,"",basic.comment,
"Click link(""@text='Purchase Order'"")",22,121,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",23,670,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.405 (sec).",,2431,Passed,"",basic.comment,
"Click link(""@text='Purchase Orders'"")",26,123,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",27,646,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10020,Passed,"",basic.comment,
"Failed to playback",,3099,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,70,Passed,"",basic.finish,
