267533,1,PO_ChangeBuyerInRequisition_002,10/23/2019 12:13:03 PM,0,Passed,10/23/2019 12:08:31 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,12705,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,12030,Passed,"",basic.step,
"Iteration Total (sec)",,254400,Passed,"",basic.iteration,
"GetNextDatabankRecord: PO_ChangeBuyerInRequisition_002",,2,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, PEETHAMBARANS, welcome123, 11701229, Hamad Rashid Al Hino]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/",53,118,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"Think: 0.259 (sec).",,304,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",55,13,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",56,1398,Passed,"",web.pageComplete,
"Click textBox(""@id='unamebean'"")",59,8935,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,71,Passed,"Data Used:PEETHAMBARANS",ft.action,
"PressTab textBox(""@id='unamebean'"")",,337,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",170,534,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",918,183,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",64,5916,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 8.379 (sec).",,8405,Passed,"",basic.comment,
"Click link(""@text='CORP PURCHASING SUPERUSER'"")",,235,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",68,966,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 8.379 (sec).",,8410,Passed,"",basic.comment,
"Click element(""@id='menuLayout_div'"")",,786,Passed,"",ft.action,
"Think: 4.379 (sec).",,4403,Passed,"",basic.comment,
"Click link(""@text='Management'"")",,358,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,957,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Manage Buyer Workload'"")",,237,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",,10165,Passed,"",web.pageComplete,
"Forms Screen shot",113,2619,Passed,"",ft.screenshot,
"Think: 10 (sec).",,10033,Passed,"",basic.comment,
"SetFocus textField(""@name='FIND_REQ_LINES_OPERATING_UNIT_0'"")",,15378,Passed,"",ft.action,
"Think: 4.847 (sec).",,4871,Passed,"",basic.comment,
"SetText textField(""@name='FIND_REQ_LINES_REQUISITION_NUMBER_0'"") 11701229",115,473,Passed,"Data Used:11701229",ft.action,
"Think: 1.134 (sec).",,1163,Passed,"",basic.comment,
"SelectItem  list(""@name='FIND_REQ_LINES_ASSIGNED_LIST_0'"") Yes",116,823,Passed,"",ft.action,
"Think: 4.328 (sec).",,4355,Passed,"",basic.comment,
"SelectItem  list(""@name='FIND_REQ_LINES_APPROVAL_STATUS_LIST_0'"") Approved",117,723,Passed,"",ft.action,
"Think: 3.43 (sec).",,3452,Passed,"",basic.comment,
"Click button(""@name='FIND_REQ_LINES_FIND_BUTTON_0'"")",118,3928,Passed,"",ft.action,
"Forms Screen shot",120,446,Passed,"",ft.screenshot,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
"Check checkBox(""@name='REQ_LINES_FOLDER_RECORD_SELECTOR_0'"") true",121,926,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"SetFocus textField(""@name='REQ_LINES_SUGGESTED_BUYER_0'"")",,855,Passed,"",ft.action,
"Info",,1,Passed,"Comments: BuyerName is : Hamad Rashid Al Hino",basic.comment,
"SetText textField(""@name='ASSIGN_NEW_SUGGESTED_BUYER_0'"") Hamad Rashid Al Hino",,1332,Passed,"Data Used:Hamad Rashid Al Hino",ft.action,
"Think: 0.018 (sec).",,54,Passed,"",basic.comment,
"ClickToolbarButton window(""@name='ASSIGN'"") Save",124,2795,Passed,"",ft.action,
"Think: 0.274 (sec).",,301,Passed,"",basic.comment,
"assertText",125,12,Passed,"",ft.test,
