588459,1,PO_CreateBlanketReleaseAndApproval_002,8/15/2019 11:45:50 AM,0,Passed,8/15/2019 11:35:58 AM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8835,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,8332,Passed,"",basic.step,
"Iteration Total (sec)",,579288,Passed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",,110,Passed,"",ft.action,
"Navigate http://riyoramgbm02.maaden.com:8050/",,430,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",,1281,Passed,"",web.pageComplete,
"Click textBox(""@id='unamebean'"")",,10905,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,64,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,457,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",,679,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,6065,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING SUPERUSER'"")",,366,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,755,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='AutoCreate'"")",,1505,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",,12375,Passed,"",web.pageComplete,
"Forms Screen shot",26,2566,Passed,"",ft.screenshot,
"SetFocus textField(""@name='FIND_REQ_LINES_OPERATING_UNIT_0'"")",,38,Passed,"",ft.action,
"Click button(""@name='FIND_REQ_LINES_CLEAR_0'"")",,2323,Passed,"",ft.action,
"SetFocus textField(""@name='FIND_REQ_LINES_OPERATING_UNIT_0'"")",,35,Passed,"",ft.action,
"SetText textField(""@name='FIND_REQ_LINES_REQUISITION_NUMBER_0'"") 711802659",,638,Passed,"",ft.action,
"Click button(""@name='FIND_REQ_LINES_FIND_0'"")",,7554,Passed,"",ft.action,
"Forms Screen shot",33,431,Passed,"",ft.screenshot,
"Check checkBox(""@name='REQ_LINES_SELECT_LINE_0'"") true",,4185,Passed,"",ft.action,
"Forms Screen shot",37,332,Passed,"",ft.screenshot,
"SelectItem  list(""@name='ACTION_DOCUMENT_TYPE_0'"") Blanket Release",,3859,Passed,"",ft.action,
"Click button(""@name='ACTION_PLACE_0'"")",,4367,Passed,"",ft.action,
"Forms Screen shot",43,334,Passed,"",ft.screenshot,
"SetText textField(""@name='PLACE_NEW_DOC_DOCUMENT_NUMBER_0'"") 741700202",,76,Passed,"",ft.action,
"Click button(""@name='PLACE_NEW_DOC_OK_0'"")",,4110,Passed,"",ft.action,
"Think: 2.459 (sec).",,2490,Passed,"",basic.comment,
"Activate window(""@name='REQ_LINES'"")",46,79,Passed,"",ft.action,
"Forms Screen shot",48,382,Passed,"",ft.screenshot,
"Think: 5.974 (sec).",,6003,Passed,"",basic.comment,
"SetFocus textField(""@name='REQ_LINES_REQUISITION_NUM_0'"")",,618,Passed,"",ft.action,
"Think: 1.539 (sec).",,1568,Passed,"",basic.comment,
"Click textField(""@name='CURRENT_STATE_PO_LINE_NUMBER_2'"") ",50,3110,Passed,"",ft.action,
"Think: 1.735 (sec).",,1768,Passed,"",basic.comment,
"Click button(""@name='ACTION_ADD_0'"")",51,3867,Passed,"",ft.action,
"Think: 10 (sec).",,10026,Passed,"",basic.comment,
"Click button(""@name='ACTION_MANUAL_CREATE_BUTTON_0'"")",52,1646,Passed,"",ft.action,
"Forms Screen shot",54,357,Passed,"",ft.screenshot,
"Think: 4.766 (sec).",,4788,Passed,"",basic.comment,
"ClickButton choiceBox(""forms:choiceBox"") OK",55,2051,Passed,"",ft.action,
"Forms Screen shot",57,361,Passed,"",ft.screenshot,
"Think: 5.131 (sec).",,5153,Passed,"",basic.comment,
"Click button(""@name='NEW_DOCUMENT_OK_0'"")",58,21487,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Activate window(""@name='PO_RELEASES'"")",59,103,Passed,"",ft.action,
"Forms Screen shot",61,314,Passed,"",ft.screenshot,
"Think: 6.842 (sec).",,6865,Passed,"",basic.comment,
"SetFocus textField(""@name='PO_RELEASES_OPERATING_UNIT_0'"")",62,90,Passed,"",ft.action,
"Think: 3.545 (sec).",,3571,Passed,"",basic.comment,
"SetFocus textField(""@name='PO_RELEASES_PO_NUM_0'"")",,1331,Passed,"",ft.action,
"Info",,1,Passed,"Comments: PONumber->741700202",basic.comment,
"SetFocus textField(""@name='PO_RELEASES_RELEASE_NUM_0'"")",,1295,Passed,"",ft.action,
"Info",,0,Passed,"Comments: releaseNumber->67",basic.comment,
"Click button(""@name='REL_CONTROL_APPROVAL_0'"")",,4188,Passed,"",ft.action,
"Forms Screen shot",67,331,Passed,"",ft.screenshot,
"Click button(""@name='PO_APPROVE_WF_OK_BUTTON_0'"")",,5226,Passed,"",ft.action,
"Forms Screen shot",70,345,Passed,"",ft.screenshot,
"Close window(""@name='PO_RELEASES'"")",72,1402,Passed,"",ft.action,
"Think: 0.378 (sec).",,408,Passed,"",basic.comment,
"Activate window(""@name='FIND_REQ_LINES'"")",,75,Passed,"",ft.action,
"Forms Screen shot",91,329,Passed,"",ft.screenshot,
"Close window(""@name='FIND_REQ_LINES'"")",,1517,Passed,"",ft.action,
"Think: 4.886 (sec).",,4910,Passed,"",basic.comment,
"Forms Screen shot",116,321,Passed,"",ft.screenshot,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Order",,2554,Passed,"",ft.action,
"Think: 0.891 (sec).",,920,Passed,"",basic.comment,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Order",,1857,Passed,"",ft.action,
"Think: 7.863 (sec).",,7892,Passed,"",basic.comment,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Order|Purchase Order Summary",,21724,Passed,"",ft.action,
"Forms Screen shot",165,20370,Passed,"",ft.screenshot,
"SetFocus textField(""@name='FIND_OPERATING_UNIT_0'"")",,43,Passed,"",ft.action,
"Think: 2.837 (sec).",,2858,Passed,"",basic.comment,
"SetText textField(""@name='FIND_PO_NUM_0'"") 741700202",,727,Passed,"",ft.action,
"SetText textField(""@name='FIND_RELEASE_NUM_0'"") 67",,851,Passed,"",ft.action,
"Click button(""@name='FIND_FIND_0'"")",169,5961,Passed,"",ft.action,
"Forms Screen shot",171,413,Passed,"",ft.screenshot,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"SelectMenuItem window(""@name='HEADERS_FOLDER'"") Inquire|View Action History",172,3120,Passed,"",ft.action,
"Forms Screen shot",174,391,Passed,"",ft.screenshot,
"Think: 10 (sec).",,10023,Passed,"",basic.comment,
"Close window(""@name='PO_ACTION_HISTORY'"")",175,3505,Passed,"",ft.action,
"Forms Screen shot",177,316,Passed,"",ft.screenshot,
"Think: 5.572 (sec).",,5604,Passed,"",basic.comment,
"Close window(""@name='HEADERS_FOLDER'"")",178,1868,Passed,"",ft.action,
