424213,1,PO_CreateBlanketReleaseAndApproval_002,8/15/2019 11:08:31 AM,0,Failed,8/15/2019 11:01:24 AM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,9111,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,8646,Passed,"",basic.step,
"Iteration Total (sec)",,414624,Failed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",,125,Passed,"",ft.action,
"Navigate http://riyoramgbm02.maaden.com:8050/",,8,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",,1222,Passed,"",web.pageComplete,
"Click textBox(""@id='unamebean'"")",,9765,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,50,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,433,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",,701,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,5569,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING SUPERUSER'"")",,357,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,731,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='AutoCreate'"")",,1447,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",,13764,Passed,"",web.pageComplete,
"Forms Screen shot",26,4834,Passed,"",ft.screenshot,
"SetFocus textField(""@name='FIND_REQ_LINES_OPERATING_UNIT_0'"")",,28,Passed,"",ft.action,
"Click button(""@name='FIND_REQ_LINES_CLEAR_0'"")",,1569,Passed,"",ft.action,
"SetFocus textField(""@name='FIND_REQ_LINES_OPERATING_UNIT_0'"")",,24,Passed,"",ft.action,
"SetText textField(""@name='FIND_REQ_LINES_REQUISITION_NUMBER_0'"") 711802658",,736,Passed,"",ft.action,
"Click button(""@name='FIND_REQ_LINES_FIND_0'"")",,6381,Passed,"",ft.action,
"Forms Screen shot",33,388,Passed,"",ft.screenshot,
"Check checkBox(""@name='REQ_LINES_SELECT_LINE_0'"") true",,5393,Passed,"",ft.action,
"Forms Screen shot",37,340,Passed,"",ft.screenshot,
"SelectItem  list(""@name='ACTION_DOCUMENT_TYPE_0'"") Blanket Release",,3630,Passed,"",ft.action,
"Click button(""@name='ACTION_PLACE_0'"")",,4058,Passed,"",ft.action,
"Forms Screen shot",43,313,Passed,"",ft.screenshot,
"SetText textField(""@name='PLACE_NEW_DOC_DOCUMENT_NUMBER_0'"") 741700202",,71,Passed,"",ft.action,
"Click button(""@name='PLACE_NEW_DOC_OK_0'"")",,3815,Passed,"",ft.action,
"Think: 2.459 (sec).",,2487,Passed,"",basic.comment,
"Activate window(""@name='REQ_LINES'"")",46,74,Passed,"",ft.action,
"Forms Screen shot",48,334,Passed,"",ft.screenshot,
"Think: 5.974 (sec).",,6002,Passed,"",basic.comment,
"SetFocus textField(""@name='REQ_LINES_REQUISITION_NUM_0'"")",,416,Passed,"",ft.action,
"Think: 1.539 (sec).",,1559,Passed,"",basic.comment,
"Click textField(""@name='CURRENT_STATE_PO_LINE_NUMBER_2'"") ",50,3072,Passed,"",ft.action,
"Think: 1.735 (sec).",,1761,Passed,"",basic.comment,
"Click button(""@name='ACTION_ADD_0'"")",51,4202,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Click button(""@name='ACTION_MANUAL_CREATE_BUTTON_0'"")",52,1636,Passed,"",ft.action,
"Forms Screen shot",54,329,Passed,"",ft.screenshot,
"Think: 4.766 (sec).",,4797,Passed,"",basic.comment,
"ClickButton choiceBox(""forms:choiceBox"") OK",55,1984,Passed,"",ft.action,
"Forms Screen shot",57,305,Passed,"",ft.screenshot,
"Think: 5.131 (sec).",,5155,Passed,"",basic.comment,
"Click button(""@name='NEW_DOCUMENT_OK_0'"")",58,20084,Passed,"",ft.action,
"Think: 10 (sec).",,10029,Passed,"",basic.comment,
"Activate window(""@name='PO_RELEASES'"")",59,102,Passed,"",ft.action,
"Forms Screen shot",61,330,Passed,"",ft.screenshot,
"Think: 6.842 (sec).",,6867,Passed,"",basic.comment,
"SetFocus textField(""@name='PO_RELEASES_OPERATING_UNIT_0'"")",62,85,Passed,"",ft.action,
"Think: 3.545 (sec).",,3576,Passed,"",basic.comment,
"SetFocus textField(""@name='PO_RELEASES_PO_NUM_0'"")",,1256,Passed,"",ft.action,
"Info",,1,Passed,"Comments: PONumber->741700202",basic.comment,
"SetFocus textField(""@name='PO_RELEASES_RELEASE_NUM_0'"")",,1309,Passed,"",ft.action,
"Info",,0,Passed,"Comments: releaseNumber->66",basic.comment,
"Click button(""@name='REL_CONTROL_APPROVAL_0'"")",,4483,Passed,"",ft.action,
"Forms Screen shot",67,323,Passed,"",ft.screenshot,
"Click button(""@name='PO_APPROVE_WF_OK_BUTTON_0'"")",,5559,Passed,"",ft.action,
"Forms Screen shot",70,330,Passed,"",ft.screenshot,
"Close window(""@name='PO_RELEASES'"")",72,2066,Passed,"",ft.action,
"Think: 0.378 (sec).",,402,Passed,"",basic.comment,
"Activate window(""@name='FIND_REQ_LINES'"")",,72,Passed,"",ft.action,
"Forms Screen shot",91,319,Passed,"",ft.screenshot,
"Close window(""@name='FIND_REQ_LINES'"")",,1527,Passed,"",ft.action,
"Think: 4.886 (sec).",,4910,Passed,"",basic.comment,
"Forms Screen shot",116,322,Passed,"",ft.screenshot,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Order",,1585,Passed,"",ft.action,
"Think: 0.891 (sec).",,910,Passed,"",basic.comment,
"Think: 0.005 (sec).",,43,Passed,"",basic.comment,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Order",,1789,Passed,"",ft.action,
"Think: 7.863 (sec).",,7888,Passed,"",basic.comment,
"Think: 0.004 (sec).",,39,Passed,"",basic.comment,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Order|Purchase Order Summary",,46979,Passed,"",ft.action,
