163334,1,PO_CreateRequisitionAndApproval_001,5/27/2020 22:41:31 PM,0,Failed,5/27/2020 22:38:45 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,12135,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,11429,Passed,"",basic.step,
"Iteration Total (sec)",,150340,Failed,"",basic.iteration,
"GetNextDatabankRecord: PO_CreateRequisitionAndApproval_001",,2,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, BRAHMEG, welcome123, Service, MISC.MISC, Daily, 1, 660, 30-SEP-2021 00:00:00, PAW:MWSPC Phosphoric Acid Plant Warehouse, Turaif PAP, Nalco Saudi Company Limited, DAMMAM_SAR, 01.05.530.17.5285.3100.00000]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/",,113,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",,2122,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,8,Passed,"",ft.action,
"Click textBox(""@id='unamebean'"")",,8613,Passed,"",ft.action,
"ClearText textBox(""@id='unamebean'"")",,45,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") BRAHMEG",,113,Passed,"Data Used:BRAHMEG",ft.action,
"Click textBox(""@id='pwdbean'"")",,134,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,50,Passed,"Data Used:welcome123",ft.action,
"Click button(""@id='SubmitButton'"")",,126,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,6437,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING PREPARER'"")",,144,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,709,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.678 (sec).",,2747,Passed,"",basic.comment,
"Click link(""@text='Requisition'"")",,102,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,623,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Requisitions'"")",,127,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",,36794,Passed,"",web.pageComplete,
"Forms Screen shot",634,5045,Passed,"",ft.screenshot,
"Forms Screen shot",,124,Passed,"",ft.screenshot,
"SetText textField(""@name='LINES_ITEM_CATEGORY_0'"") MISC.MISC",,21447,Passed,"Data Used:MISC.MISC",ft.action,
"Info",,0,Passed,"Comments: Desc1",basic.comment,
"SetText textField(""@name='LINES_ITEM_DESCRIPTION_0'"") Application Engineer's Service Charge",,1165,Passed,"",ft.action,
"SetText textField(""@name='LINES_UNIT_MEAS_LOOKUP_CODE_TL_0'"") Daily",,38,Passed,"Data Used:Daily",ft.action,
"SetText textField(""@name='LINES_QUANTITY_0'"") 1",,595,Passed,"Data Used:1",ft.action,
"InvokeSoftKey textField(""@name='LINES_QUANTITY_0'"")",,770,Passed,"",ft.action,
"SetText textField(""@name='LINES_UNIT_PRICE_0'"") 660",,531,Passed,"Data Used:660",ft.action,
"InvokeSoftKey textField(""@name='LINES_UNIT_PRICE_0'"")",,578,Passed,"",ft.action,
"SetText textField(""@name='LINES_NEED_BY_DATE_0'"") 30-SEP-2021 00:00:00",,33,Passed,"Data Used:30-SEP-2021 00:00:00",ft.action,
"SetText textField(""@name='LINES_DEST_ORGANIZATION_0'"") PAW:MWSPC Phosphoric Acid Plant Warehouse",,32,Passed,"Data Used:PAW:MWSPC Phosphoric Acid Plant Warehouse",ft.action,
"Think: 2.678 (sec).",,2702,Passed,"",basic.comment,
"SetText textField(""@name='LINES_DELIVER_TO_LOCATION_0'"") Turaif PAP",,585,Passed,"Data Used:Turaif PAP",ft.action,
"SetText textField(""@name='LINES_SUGGESTED_VENDOR_NAME_0'"") Nalco Saudi Company Limited",,525,Passed,"Data Used:Nalco Saudi Company Limited",ft.action,
"Think: 2.678 (sec).",,2704,Passed,"",basic.comment,
"SetText textField(""@name='LINES_SUGGESTED_VENDOR_LOCATION_0'"") DAMMAM_SAR",,546,Passed,"Data Used:DAMMAM_SAR",ft.action,
"Think: 2.678 (sec).",,2702,Passed,"",basic.comment,
"ClickToolbarButton window(""@name='HEADER_LINES'"") Save",,2518,Passed,"",ft.action,
"Think: 2.678 (sec).",,2703,Passed,"",basic.comment,
"SetFocus textField(""@name='PO_REQ_HDR_SEGMENT1_0'"")",,365,Passed,"",ft.action,
"Info",,0,Passed,"Comments: requestion_Number--------------->",basic.comment,
"Click button(""@name='CONTROL_DISTRIBUTIONS_0'"")",,30240,Failed,"Forms Object Not Found!  XPath: //forms:button[(@name='CONTROL_DISTRIBUTIONS_0')], Type: Button, Cause: Illegal Access",ft.action,
"Finish Total (sec)",,353,Passed,"",basic.finish,
"closeBrowser",,17,Passed,"",ft.action,
"closeBrowser",,150,Passed,"",ft.action,
