49716,1,PO_CreateRequisitionAndApproval_User_ENAZIFH_001,9/05/2019 04:13:05 AM,0,Failed,9/05/2019 04:12:15 AM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,9635,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,9043,Passed,"",basic.step,
"Iteration Total (sec)",,39749,Failed,"Variable ""obj.PO_CreateRequisitionAndApproval_User_ENAZIFH_001.web_a_طلب_شراء_الشراء_711905904"" not found for string: {{obj.PO_CreateRequisitionAndApproval_User_ENAZIFH_001.web_a_طلب_شراء_الشراء_711905904}}",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",84,99,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=snZUFlVRMj78gnT2U.UWRzGM0htsfzFctall8bEj0tLZP2iMyT6oKz2E1-rEgCGpkXe30l7MvH8NWvNLthkE5hZKpTpE8VPGx7oON7y...",85,20694,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.039 (sec).",,1074,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",88,309,Passed,"",ft.action,
"Think: 1.468 (sec).",,1500,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") ENAZIFH",89,56,Passed,"",ft.action,
"Think: 0.348 (sec).",,406,Passed,"",basic.comment,
"PressTab textBox(""@id='unamebean'"")",90,162,Passed,"",ft.action,
"Think: 0.314 (sec).",,345,Passed,"",basic.comment,
"SetPassword textBox(""@id='pwdbean'"") ******",91,383,Passed,"",ft.action,
"Think: 0.165 (sec).",,194,Passed,"",basic.comment,
"PressEnter textBox(""@id='pwdbean'"")",92,50,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=391785248&oapc=2&oas=Yl2pbQoNskxyfArCCe15TA..",93,8893,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 3.884 (sec).",,3911,Passed,"",basic.comment,
"Finish Total (sec)",,54,Passed,"",basic.finish,
