152508,1,PO_CreateRequisitionAndApproval_User_LAOE_001,8/06/2019 14:16:30 PM,0,Passed,8/06/2019 14:13:56 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,46545,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,45929,Passed,"",basic.step,
"Iteration Total (sec)",,105416,Passed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",2,82,Passed,"",ft.action,
"Think: 0.285 (sec).",,323,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",4,9,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",5,1193,Passed,"",web.pageComplete,
"Think: 10 (sec).",,10034,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",8,757,Passed,"",ft.action,
"Think: 0.755 (sec).",,782,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") LAOE",9,84,Passed,"",ft.action,
"Think: 0.634 (sec).",,677,Passed,"",basic.comment,
"PressTab textBox(""@id='unamebean'"")",10,198,Passed,"",ft.action,
"Think: 0.101 (sec).",,130,Passed,"",basic.comment,
"SetPassword textBox(""@id='pwdbean'"") ******",11,382,Passed,"",ft.action,
"Think: 7.768 (sec).",,7790,Passed,"",basic.comment,
"Click button(""@id='SubmitButton'"")",12,609,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",13,7529,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10024,Passed,"",basic.comment,
"Click link(""@text='Purchase Requisition 711802628 for Mecevic, Muhamed (660.00 SAR)'"")",16,1044,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=FND_WFNTF_DETAILS&NtfId=7362053&addBreadCrumb=Y&retainAM=Y&_ti=1989091416&oapc=5&oas=BsPNbAPZF1QbN1y1bI3N6A..",17,19021,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 9.321 (sec).",,9345,Passed,"",basic.comment,
"Click button(""@value='Approve'"")",20,673,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/NewHomePG&homePage=Y&_ti=1989091416&retainAM=Y&addBreadCrumb=N&OAMC=G&WFEBizWorklist=Y&oapc=7&oas=QhjtI-MfjhAYmpf4v2FGJA..",21,14535,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10028,Passed,"",basic.comment,
"Click link(""@text='Logout'"")",24,280,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=buVoCN5pvZdIemFiC2fpd4dvbu.y0jzfkLZ17l4u40QosAU5lhw.LL9mkdAdEoWB&oas=tWFdlP92Wn9k7cbfWtLOKA..",25,3129,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 4.475 (sec).",,4502,Passed,"",basic.comment,
"closeBrowser",28,7,Passed,"",ft.action,
"Finish Total (sec)",,140,Passed,"",basic.finish,
