76036,1,PO_CreateRequisitionAndApproval_User_LAOE_001,9/05/2019 03:07:43 AM,0,Passed,9/05/2019 03:06:25 AM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,13307,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,12517,Passed,"",basic.step,
"Iteration Total (sec)",,62194,Passed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",70,121,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=VpR.RLOa24tDrjB0JzVPaTGM0htsfzFctall8bEj0tLZP2iMyT6oKz2E1-rEgCGpkXe30l7MvH8NWvNLthkE5hZKpTpE8VPGx7oON7y...",71,16840,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 6.688 (sec).",,6739,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",74,456,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") LAOE ",,90,Passed,"",ft.action,
"Click textBox(""@id='pwdbean'"")",,148,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,641,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",,181,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=248381913&oapc=2&oas=LMPVr88amXAjtebH4uTr2w..",,8170,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 8.327 (sec).",,8366,Passed,"",basic.comment,
"Click link(""@index='21'"")",,275,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=248381913&oapc=2&oas=LMPVr88amXAjtebH4uTr2w..",,1545,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 0.464 (sec).",,510,Passed,"",basic.comment,
"Click button(""@value='Approve'"")",,288,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=APPSSEARCH_DEFAULT_RESULTS&SearchableGroup=All&SearchText=&searchGroupDisplayName=All&renderSESUI=N&retainAM=Y&addBreadCrumb=RP&OAMC=K&_ti=248381913&oapc=7&oas=m2nDH4gpxI4JqgnYeKVZnw..",87,3161,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 4.288 (sec).",,4318,Passed,"",basic.comment,
"Click link(""@text='Logout'"")",90,145,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=buVoCN5pvZdIemFiC2fpd4dvbu.y0jzfkLZ17l4u40QosAU5lhw.LL9mkdAdEoWB&oas=q--an9jU5enfLI7wMuM8fw..",111,4230,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 3.057 (sec).",,3096,Passed,"",basic.comment,
"Finish Total (sec)",,163,Passed,"",basic.finish,
"closeBrowser",,12,Passed,"",ft.action,
