113038,1,PO_Internal_Requisition_00128,4/14/2020 15:56:06 PM,0,Passed,4/14/2020 15:54:09 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8581,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.719.18362.0",,8037,Passed,"",basic.step,
"Iteration Total (sec)",,97447,Passed,"",basic.iteration,
"GetNextDatabankRecord: PO_Internal_Requisition_00128",,3,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, ENEZIK, welcome123]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/",2,67,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",5,1494,Passed,"",web.pageComplete,
"SetText textBox(""@id='unamebean'"") ENEZIK",,8415,Passed,"Data Used:ENEZIK",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,63,Passed,"Data Used:welcome123",ft.action,
"Click button(""@id='SubmitButton'"")",,207,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",12,5638,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MAC ROLLING IPROCUREMENT'"")",,123,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",16,592,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='iProcurement Home Page'"")",,426,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=7330&resp_id=53035&resp_appl_id=178&security_group_id=0&lang_code=US&params=muyUJSTiHoHmcnUx4IndYgvqrqa19x45mKf3QHp0UEA&oas=XFuYvmkOUSD-AJRi_TT-Kw..",20,23738,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click image(""@alt='Copy Requisitions'"")",,103,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/icatalog/shopping/webui/ShoppingHomePG&_ti=1938911407&retainAM=N&addBreadCrumb=N&OASF=ICX_CAT_SHOP_HOME&OAHP=ICX_POR_HOMEPAGE_MENU&oapc=7&oas=yYcMYEmCaIJBxzpryQN_Pw..",24,17102,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click button(""@id='Checkout'"")",,110,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/por/req/webui/ShoppingCartPG&OASF=ICX_POR_SHOPPING_CART&_ti=1938911407&retainAM=Y&addBreadCrumb=N&oapc=10&oas=ihf5dOJ0RXByU6xOEh9jRw..",28,10542,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click button(""@value='Ne<SPAN class=xq Oracle_OS_WebDOM_ElementID=&quot;True&quot;>x</SPAN>t'"")",,117,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/por/req/webui/CheckoutSummaryPG&porMode=display&porSummaryPageFromCart=true&_ti=1938911407&retainAM=Y&addBreadCrumb=N&OASF=ICX_POR_CHECKOUT_SUMMARY&oapc=13&oas=TMS4Ar...",32,9559,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"DoubleClick element(""@text='   No Approvals Required'"")",,290,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Approval Text  -> No Approvals Required",basic.comment,
"Click button(""@value='Ne<SPAN class=xq Oracle_OS_WebDOM_ElementID=&quot;True&quot;>x</SPAN>t'"")",,111,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/por/approval/webui/ReqApprListPG&_ti=1938911407&retainAM=Y&addBreadCrumb=N&oapc=15&oas=REta-3uTk2l-FXXttp6IPA..",39,3122,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click button(""@id='SubmitButton'"")",,138,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/por/req/webui/ReviewSubmitPG&_ti=1938911407&retainAM=Y&addBreadCrumb=N&oapc=17&oas=Wh9mkElULJw8sHb0tpgrhA..",43,3975,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"focus",,77,Passed,"",ft.action,
"CapturePage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/por/req/webui/ReviewSubmitPG&_ti=1938911407&retainAM=Y&addBreadCrumb=N&oapc=17&oas=Wh9mkElULJw8sHb0tpgrhA..",43,407,Passed,"",web.capPage,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: Requisition 6311902381",basic.comment,
"Info",,0,Passed,"Comments: Created Requition is -> 6311902381",basic.comment,
"Click button(""@value='Continue Shopping'"")",,99,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=ICX_CAT_SHOP_HOME&OASF=ICX_CAT_SHOP_HOME&retainAM=N&_ti=1938911407&oapc=19&oas=yz73lHA5QUOFDTkUd5VDDQ..",,6658,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"focus",51,80,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Created requisition status is -> Approved",basic.comment,
"CapturePage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=ICX_CAT_SHOP_HOME&OASF=ICX_CAT_SHOP_HOME&retainAM=N&_ti=1938911407&oapc=19&oas=yz73lHA5QUOFDTkUd5VDDQ..",43,468,Passed,"",web.capPage,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,6814,Passed,"",basic.finish,
"Click link(""@text='Logout'"")",52,137,Passed,"",ft.action,
