276473,1,PO_ReceivingAndDeliver_Receiving_010,4/30/2020 14:57:30 PM,0,Passed,4/30/2020 14:52:53 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,7960,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,7410,Passed,"",basic.step,
"Iteration Total (sec)",,268087,Passed,"",basic.iteration,
"Navigate http://riysoaclone.maaden.com:8010",292,120,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/",,2204,Passed,"",web.pageComplete,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,11438,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,391,Passed,"",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",,235,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,13266,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING BUYER I'"")",,19504,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,602,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Click link(""@text='Receipts'"")",,2599,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,637,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Receiving Transactions'"")",,123,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",318,4074,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/forms/frmservlet?appletmode=nonforms&HTMLpageTitle=&HTMLpreApplet=&code=oracle/apps/fnd/formsClient/FormsLauncher.class&width=400&height=300&archive=/OA_JAVA/oracle/apps/fnd/jar/fndforms.jar,/OA_JAVA/oracl...",,0,Passed,"",web.frame,
"Click link(""@text='Receiving Transactions'"")",322,20655,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETIM...",323,23413,Passed,"",web.pageComplete,
"Activate window(""@name='NAVIGATOR'"")",327,31540,Passed,"",ft.action,
"Forms Screen shot",329,564,Passed,"",ft.screenshot,
"Select listOfValues(""forms:listOfValues"") MWP|Waad S Phospate Inventory Organization",330,23549,Passed,"",ft.action,
"Forms Screen shot",332,369,Passed,"",ft.screenshot,
"ClickYes alertDialog(""forms:alertDialog"")",,14,Passed,"",ft.action,
"Forms Screen shot",389,328,Passed,"",ft.screenshot,
"Think: 0.3 (sec).",,329,Passed,"",basic.comment,
"Click link(""@text='Receiving Transactions'"")",,338,Passed,"",ft.action,
"SetText textField(""@name='FIND_RECEIPT_NUM_0'"") 751919109",,25402,Passed,"",ft.action,
"Click button(""@name='FIND_FIND_0'"")",334,4398,Passed,"",ft.action,
"Forms Screen shot",336,381,Passed,"",ft.screenshot,
"Check checkBox(""@name='RCV_TRANSACTION_LINE_CHKBOX_0'"") true",,412,Passed,"",ft.action,
"OpenDialog textField(""@name='RCV_TRANSACTION_SUBINVENTORY_DSP_0'"")",,3822,Passed,"",ft.action,
"Activate window(""@name='TRANSACTIONS'"")",,69,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") MWP COMP|MWP Completion Warehouse",,1136,Passed,"",ft.action,
"Forms Screen shot",342,276,Passed,"",ft.screenshot,
"InvokeSoftKey textField(""@name='RCV_TRANSACTION_SUBINVENTORY_DSP_0'"")",,671,Passed,"",ft.action,
"SetText textField(""@name='RCV_TRANSACTION_LOCATOR_DSP_0'"") NEW.01.COM",,41,Passed,"",ft.action,
"ClickToolbarButton window(""@name='TRANSACTIONS'"") Save",345,1246,Passed,"",ft.action,
"Close window(""@name='TRANSACTIONS'"")",,1207,Passed,"",ft.action,
"Click link(""@text='Receiving Transactions Summary'"")",,319,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",349,4481,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/forms/frmservlet?appletmode=nonforms&HTMLpageTitle=&HTMLpreApplet=&code=oracle/apps/fnd/formsClient/FormsLauncher.class&width=400&height=300&archive=/OA_JAVA/oracle/apps/fnd/jar/fndforms.jar,/OA_JAVA/oracl...",,0,Passed,"",web.frame,
"Forms Screen shot",354,432,Passed,"",ft.screenshot,
"SetText textField(""@name='FIND_RECEIPT_NUM_0'"") 751919109",,21737,Passed,"",ft.action,
"Click button(""@name='FIND_FIND_0'"")",,10226,Passed,"",ft.action,
"Forms Screen shot",358,279,Passed,"",ft.screenshot,
"Click button(""@name='HEADERS_FOLDER_TX_HISTORY_BUT_0'"")",,5991,Passed,"",ft.action,
"Forms Screen shot",361,293,Passed,"",ft.screenshot,
"SetFocus textField(""@name='LINES_FOLDER_DISPLAYED_TRANS_TYPE_0'"")",,459,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Deliver-> Receive",basic.comment,
"SetFocus textField(""@name='LINES_FOLDER_DISPLAYED_DEST_TYPE_0'"")",,1220,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Inv-> Receiving",basic.comment,
"SetFocus textField(""@name='LINES_FOLDER_DISPLAYED_DEST_TYPE_1'"")",,1448,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Inv___1-->Inventory",basic.comment,
"Click textField(""@name='LINES_FOLDER_PLUS_MINUS_0'"") ",,2671,Passed,"",ft.action,
"SetFocus textField(""@name='LINES_FOLDER_DISPLAYED_TRANS_TYPE_0'"")",,658,Passed,"",ft.action,
"Click textField(""@name='LINES_FOLDER_PLUS_MINUS_0'"") ",,4691,Passed,"",ft.action,
"SetFocus textField(""@name='LINES_FOLDER_DISPLAYED_TRANS_TYPE_0'"")",,525,Passed,"",ft.action,
"Close window(""@name='LINES'"")",,1423,Passed,"",ft.action,
"Forms Screen shot",372,321,Passed,"",ft.screenshot,
"Close window(""@name='HEADERS'"")",,2097,Passed,"",ft.action,
"Click link(""@text='Logout'"")",,224,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=EaXwe3MWrvyHl-xHBpPF.nlLm.fqEetiXb..Gw2b7E.-xmP6THITLTsxaECfZQ7B&oas=l5Qknv5Eshq1lkYg-AJasw..",,4856,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"closeBrowser",,8,Passed,"",ft.action,
"Forms Close",380,1023,Passed,"",ft.action,
"Finish Total (sec)",,48,Passed,"",basic.finish,
