299279,1,PO_ReturnToSupplier_WithPO_LineNumber_00114,4/05/2020 18:10:09 PM,0,Passed,4/05/2020 18:05:06 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,9639,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.719.18362.0",,9149,Passed,"",basic.step,
"Iteration Total (sec)",,289355,Passed,"",basic.iteration,
"GetNextDatabankRecord: PO_ReturnToSupplier_WithPO_LineNumber_00114",,2,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, PEETHAMBARANS, welcome123, 741903124, 3, 1, Supplier, %Ship, ]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",100,104,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=IwqEQSVUG0yQcF-mSarBkzGM0htsfzFctall8bEj0tLZP2iMyT6oKz2E1-rEgCGpkXe30l7MvH8NWvNLthkE5hZKpTpE8VPGx7oON7y...",102,12427,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click textBox(""@id='unamebean'"")",106,291,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,49,Passed,"Data Used:PEETHAMBARANS",ft.action,
"PressTab textBox(""@id='unamebean'"")",,243,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,51,Passed,"Data Used:welcome123",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",110,46,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=364109266&oapc=2&oas=-aubC5urOZXpZQw3fyB-FQ..",111,9598,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING SUPERUSER'"")",115,134,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=364109266&oapc=2&oas=-aubC5urOZXpZQw3fyB-FQ..#",116,827,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Purchase Order Summary'"")",126,7151,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",127,37829,Passed,"",web.pageComplete,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",127,486,Passed,"",web.pageComplete,
"Forms Screen shot",132,1589,Passed,"",ft.screenshot,
"SetText textField(""@name='FIND_PO_NUM_0'"") 741903124",134,1076,Passed,"Data Used:741903124",ft.action,
"SetText textField(""@name='FIND_LINE_NUM_0'"") 3",,1384,Passed,"Data Used:3",ft.action,
"Click button(""@name='FIND_FIND_0'"")",,8550,Passed,"",ft.action,
"Forms Screen shot",138,365,Passed,"",ft.screenshot,
"Click button(""@name='LINES_FOLDER_CONTROL_SHIPMENTS_0'"")",,5936,Passed,"",ft.action,
"Forms Screen shot",141,352,Passed,"",ft.screenshot,
"SetFocus textField(""@name='SHIPMENTS_FOLDER_QUANTITY_DUE_0'"")",,1194,Passed,"",ft.action,
"Info",,2,Passed,"Comments: Quantity_Due  before Return -> 17",basic.comment,
"SetFocus textField(""@name='SHIPMENTS_FOLDER_QUANTITY_RECEIVED_0'"")",,1173,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Quantity_Receive before Return -> 63",basic.comment,
"Forms Screen shot",145,309,Passed,"",ft.screenshot,
"Forms Close",146,868,Passed,"",ft.action,
"Forms Screen shot",148,320,Passed,"",ft.screenshot,
"ClickButton choiceBox(""forms:choiceBox"") OK",149,3233,Passed,"",ft.action,
"Click element(""@id='menuLayout_div'"")",150,681,Passed,"",ft.action,
"Think: 5.791 (sec).",,5816,Passed,"",basic.comment,
"Click link(""@text='Receiving'"")",151,172,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=364109266&oapc=2&oas=-aubC5urOZXpZQw3fyB-FQ..#",152,796,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/forms/frmservlet?appletmode=nonforms&HTMLpageTitle=&HTMLpreApplet=&code=oracle/apps/fnd/formsClient/FormsLauncher.class&width=400&height=300&archive=/OA_JAVA/oracle/apps/fnd/jar/fndforms.jar,/OA_JAVA/orac...",,0,Passed,"",web.frame,
"Click link(""@text='Returns'"")",235,152,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",236,484,Passed,"",web.pageComplete,
"Think: 0.282 (sec).",,307,Passed,"",basic.comment,
"Activate window(""@name='NAVIGATOR'"")",,11952,Passed,"",ft.action,
"Forms Screen shot",243,315,Passed,"",ft.screenshot,
